
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 x q[12]
Gate(  209)	cx q[4], q[12]
Gate(  210)	cx q[13], q[4]
Gate(  211)	tdg q[12]
Gate(  212)	cx q[13], q[12]
Gate(  213)	tdg q[13]
Gate(  214)	tdg q[12]
Gate(  215)	 t q[4]
Gate(  216)	cx q[4], q[12]
Gate(  217)	cx q[13], q[4]
Gate(  218)	cx q[12], q[13]
Gate(  219)	 h q[4]
Gate(  220)	 h q[5]
Gate(  221)	 t q[11]
Gate(  222)	 t q[4]
Gate(  223)	 t q[5]
Gate(  224)	cx q[4], q[11]
Gate(  225)	cx q[5], q[4]
Gate(  226)	cx q[11], q[5]
Gate(  227)	tdg q[4]
Gate(  228)	cx q[11], q[4]
Gate(  229)	tdg q[11]
Gate(  230)	tdg q[4]
Gate(  231)	 t q[5]
Gate(  232)	cx q[5], q[4]
Gate(  233)	cx q[11], q[5]
Gate(  234)	cx q[4], q[11]
Gate(  235)	 h q[5]
Gate(  236)	 h q[6]
Gate(  237)	 t q[10]
Gate(  238)	 t q[5]
Gate(  239)	 t q[6]
Gate(  240)	cx q[5], q[10]
Gate(  241)	cx q[6], q[5]
Gate(  242)	cx q[10], q[6]
Gate(  243)	tdg q[5]
Gate(  244)	cx q[10], q[5]
Gate(  245)	tdg q[10]
Gate(  246)	tdg q[5]
Gate(  247)	 t q[6]
Gate(  248)	cx q[6], q[5]
Gate(  249)	cx q[10], q[6]
Gate(  250)	cx q[5], q[10]
Gate(  251)	 h q[6]
Gate(  252)	 h q[7]
Gate(  253)	 t q[9]
Gate(  254)	 t q[6]
Gate(  255)	 t q[7]
Gate(  256)	cx q[6], q[9]
Gate(  257)	cx q[7], q[6]
Gate(  258)	cx q[9], q[7]
Gate(  259)	tdg q[6]
Gate(  260)	cx q[9], q[6]
Gate(  261)	tdg q[9]
Gate(  262)	tdg q[6]
Gate(  263)	 t q[7]
Gate(  264)	cx q[7], q[6]
Gate(  265)	cx q[9], q[7]
Gate(  266)	cx q[6], q[9]
Gate(  267)	 h q[7]
Gate(  268)	 h q[0]
Gate(  269)	 t q[14]
Gate(  270)	 t q[13]
Gate(  271)	 t q[0]
Gate(  272)	cx q[13], q[14]
Gate(  273)	cx q[0], q[13]
Gate(  274)	cx q[14], q[0]
Gate(  275)	tdg q[13]
Gate(  276)	cx q[14], q[13]
Gate(  277)	tdg q[14]
Gate(  278)	tdg q[13]
Gate(  279)	 t q[0]
Gate(  280)	cx q[0], q[13]
Gate(  281)	cx q[14], q[0]
Gate(  282)	cx q[13], q[14]
Gate(  283)	 h q[0]
Gate(  284)	 h q[13]
Gate(  285)	 t q[1]
Gate(  286)	 t q[12]
Gate(  287)	 t q[13]
Gate(  288)	cx q[12], q[1]
Gate(  289)	cx q[13], q[12]
Gate(  290)	cx q[1], q[13]
Gate(  291)	tdg q[12]
Gate(  292)	cx q[1], q[12]
Gate(  293)	tdg q[1]
Gate(  294)	tdg q[12]
Gate(  295)	 t q[13]
Gate(  296)	cx q[13], q[12]
Gate(  297)	cx q[1], q[13]
Gate(  298)	cx q[12], q[1]
Gate(  299)	 h q[13]
Gate(  300)	 h q[12]
Gate(  301)	 t q[2]
Gate(  302)	 t q[11]
Gate(  303)	 t q[12]
Gate(  304)	cx q[11], q[2]
Gate(  305)	cx q[12], q[11]
Gate(  306)	cx q[2], q[12]
Gate(  307)	tdg q[11]
Gate(  308)	cx q[2], q[11]
Gate(  309)	tdg q[2]
Gate(  310)	tdg q[11]
Gate(  311)	 t q[12]
Gate(  312)	cx q[12], q[11]
Gate(  313)	cx q[2], q[12]
Gate(  314)	cx q[11], q[2]
Gate(  315)	 h q[12]
Gate(  316)	 h q[11]
Gate(  317)	 t q[3]
Gate(  318)	 t q[10]
Gate(  319)	 t q[11]
Gate(  320)	cx q[10], q[3]
Gate(  321)	cx q[11], q[10]
Gate(  322)	cx q[3], q[11]
Gate(  323)	tdg q[10]
Gate(  324)	cx q[3], q[10]
Gate(  325)	tdg q[3]
Gate(  326)	tdg q[10]
Gate(  327)	 t q[11]
Gate(  328)	cx q[11], q[10]
Gate(  329)	cx q[3], q[11]
Gate(  330)	cx q[10], q[3]
Gate(  331)	 h q[11]
Gate(  332)	 h q[10]
Gate(  333)	 t q[4]
Gate(  334)	 t q[9]
Gate(  335)	 t q[10]
Gate(  336)	cx q[9], q[4]
Gate(  337)	cx q[10], q[9]
Gate(  338)	cx q[4], q[10]
Gate(  339)	tdg q[9]
Gate(  340)	cx q[4], q[9]
Gate(  341)	tdg q[4]
Gate(  342)	tdg q[9]
Gate(  343)	 t q[10]
Gate(  344)	cx q[10], q[9]
Gate(  345)	cx q[4], q[10]
Gate(  346)	cx q[9], q[4]
Gate(  347)	 h q[10]
Gate(  348)	 h q[9]
Gate(  349)	 t q[5]
Gate(  350)	 t q[8]
Gate(  351)	 t q[9]
Gate(  352)	cx q[8], q[5]
Gate(  353)	cx q[9], q[8]
Gate(  354)	cx q[5], q[9]
Gate(  355)	tdg q[8]
Gate(  356)	cx q[5], q[8]
Gate(  357)	tdg q[5]
Gate(  358)	tdg q[8]
Gate(  359)	 t q[9]
Gate(  360)	cx q[9], q[8]
Gate(  361)	cx q[5], q[9]
Gate(  362)	cx q[8], q[5]
Gate(  363)	 h q[9]
Gate(  364)	 h q[8]
Gate(  365)	 t q[7]
Gate(  366)	 t q[6]
Gate(  367)	 t q[8]
Gate(  368)	cx q[6], q[7]
Gate(  369)	cx q[8], q[6]
Gate(  370)	cx q[7], q[8]
Gate(  371)	tdg q[6]
Gate(  372)	cx q[7], q[6]
Gate(  373)	tdg q[7]
Gate(  374)	tdg q[6]
Gate(  375)	 t q[8]
Gate(  376)	cx q[8], q[6]
Gate(  377)	cx q[7], q[8]
Gate(  378)	cx q[6], q[7]
Gate(  379)	 h q[8]
Gate(  380)	 h q[9]
Gate(  381)	 t q[5]
Gate(  382)	 t q[8]
Gate(  383)	 t q[9]
Gate(  384)	cx q[8], q[5]
Gate(  385)	cx q[9], q[8]
Gate(  386)	cx q[5], q[9]
Gate(  387)	tdg q[8]
Gate(  388)	cx q[5], q[8]
Gate(  389)	tdg q[5]
Gate(  390)	tdg q[8]
Gate(  391)	 t q[9]
Gate(  392)	cx q[9], q[8]
Gate(  393)	cx q[5], q[9]
Gate(  394)	cx q[8], q[5]
Gate(  395)	 h q[9]
Gate(  396)	 h q[10]
Gate(  397)	 t q[4]
Gate(  398)	 t q[9]
Gate(  399)	 t q[10]
Gate(  400)	cx q[9], q[4]
Gate(  401)	cx q[10], q[9]
Gate(  402)	cx q[4], q[10]
Gate(  403)	tdg q[9]
Gate(  404)	cx q[4], q[9]
Gate(  405)	tdg q[4]
Gate(  406)	tdg q[9]
Gate(  407)	 t q[10]
Gate(  408)	cx q[10], q[9]
Gate(  409)	cx q[4], q[10]
Gate(  410)	cx q[9], q[4]
Gate(  411)	 h q[10]
Gate(  412)	 h q[11]
Gate(  413)	 t q[3]
Gate(  414)	 t q[10]
Gate(  415)	 t q[11]
Gate(  416)	cx q[10], q[3]
Gate(  417)	cx q[11], q[10]
Gate(  418)	cx q[3], q[11]
Gate(  419)	tdg q[10]
Gate(  420)	cx q[3], q[10]
Gate(  421)	tdg q[3]
Gate(  422)	tdg q[10]
Gate(  423)	 t q[11]
Gate(  424)	cx q[11], q[10]
Gate(  425)	cx q[3], q[11]
Gate(  426)	cx q[10], q[3]
Gate(  427)	 h q[11]
Gate(  428)	 h q[12]
Gate(  429)	 t q[2]
Gate(  430)	 t q[11]
Gate(  431)	 t q[12]
Gate(  432)	cx q[11], q[2]
Gate(  433)	cx q[12], q[11]
Gate(  434)	cx q[2], q[12]
Gate(  435)	tdg q[11]
Gate(  436)	cx q[2], q[11]
Gate(  437)	tdg q[2]
Gate(  438)	tdg q[11]
Gate(  439)	 t q[12]
Gate(  440)	cx q[12], q[11]
Gate(  441)	cx q[2], q[12]
Gate(  442)	cx q[11], q[2]
Gate(  443)	 h q[12]
Gate(  444)	 h q[13]
Gate(  445)	 t q[1]
Gate(  446)	 t q[12]
Gate(  447)	 t q[13]
Gate(  448)	cx q[12], q[1]
Gate(  449)	cx q[13], q[12]
Gate(  450)	cx q[1], q[13]
Gate(  451)	tdg q[12]
Gate(  452)	cx q[1], q[12]
Gate(  453)	tdg q[1]
Gate(  454)	tdg q[12]
Gate(  455)	 t q[13]
Gate(  456)	cx q[13], q[12]
Gate(  457)	cx q[1], q[13]
Gate(  458)	cx q[12], q[1]
Gate(  459)	 h q[13]
Gate(  460)	 h q[0]
Gate(  461)	 t q[14]
Gate(  462)	 t q[13]
Gate(  463)	 t q[0]
Gate(  464)	cx q[13], q[14]
Gate(  465)	cx q[0], q[13]
Gate(  466)	cx q[14], q[0]
Gate(  467)	tdg q[13]
Gate(  468)	cx q[14], q[13]
Gate(  469)	tdg q[14]
Gate(  470)	tdg q[13]
Gate(  471)	 t q[0]
Gate(  472)	cx q[0], q[13]
Gate(  473)	cx q[14], q[0]
Gate(  474)	cx q[13], q[14]
Gate(  475)	 h q[0]
Gate(  476)	 h q[13]
Gate(  477)	 t q[1]
Gate(  478)	 t q[12]
Gate(  479)	 t q[13]
Gate(  480)	cx q[12], q[1]
Gate(  481)	cx q[13], q[12]
Gate(  482)	cx q[1], q[13]
Gate(  483)	tdg q[12]
Gate(  484)	cx q[1], q[12]
Gate(  485)	tdg q[1]
Gate(  486)	tdg q[12]
Gate(  487)	 t q[13]
Gate(  488)	cx q[13], q[12]
Gate(  489)	cx q[1], q[13]
Gate(  490)	cx q[12], q[1]
Gate(  491)	 h q[13]
Gate(  492)	 h q[12]
Gate(  493)	 t q[2]
Gate(  494)	 t q[11]
Gate(  495)	 t q[12]
Gate(  496)	cx q[11], q[2]
Gate(  497)	cx q[12], q[11]
Gate(  498)	cx q[2], q[12]
Gate(  499)	tdg q[11]
Gate(  500)	cx q[2], q[11]
Gate(  501)	tdg q[2]
Gate(  502)	tdg q[11]
Gate(  503)	 t q[12]
Gate(  504)	cx q[12], q[11]
Gate(  505)	cx q[2], q[12]
Gate(  506)	cx q[11], q[2]
Gate(  507)	 h q[12]
Gate(  508)	 h q[11]
Gate(  509)	 t q[3]
Gate(  510)	 t q[10]
Gate(  511)	 t q[11]
Gate(  512)	cx q[10], q[3]
Gate(  513)	cx q[11], q[10]
Gate(  514)	cx q[3], q[11]
Gate(  515)	tdg q[10]
Gate(  516)	cx q[3], q[10]
Gate(  517)	tdg q[3]
Gate(  518)	tdg q[10]
Gate(  519)	 t q[11]
Gate(  520)	cx q[11], q[10]
Gate(  521)	cx q[3], q[11]
Gate(  522)	cx q[10], q[3]
Gate(  523)	 h q[11]
Gate(  524)	 h q[10]
Gate(  525)	 t q[4]
Gate(  526)	 t q[9]
Gate(  527)	 t q[10]
Gate(  528)	cx q[9], q[4]
Gate(  529)	cx q[10], q[9]
Gate(  530)	cx q[4], q[10]
Gate(  531)	tdg q[9]
Gate(  532)	cx q[4], q[9]
Gate(  533)	tdg q[4]
Gate(  534)	tdg q[9]
Gate(  535)	 t q[10]
Gate(  536)	cx q[10], q[9]
Gate(  537)	cx q[4], q[10]
Gate(  538)	cx q[9], q[4]
Gate(  539)	 h q[10]
Gate(  540)	 h q[9]
Gate(  541)	 t q[5]
Gate(  542)	 t q[8]
Gate(  543)	 t q[9]
Gate(  544)	cx q[8], q[5]
Gate(  545)	cx q[9], q[8]
Gate(  546)	cx q[5], q[9]
Gate(  547)	tdg q[8]
Gate(  548)	cx q[5], q[8]
Gate(  549)	tdg q[5]
Gate(  550)	tdg q[8]
Gate(  551)	 t q[9]
Gate(  552)	cx q[9], q[8]
Gate(  553)	cx q[5], q[9]
Gate(  554)	cx q[8], q[5]
Gate(  555)	 h q[9]
Gate(  556)	 h q[8]
Gate(  557)	 t q[7]
Gate(  558)	 t q[6]
Gate(  559)	 t q[8]
Gate(  560)	cx q[6], q[7]
Gate(  561)	cx q[8], q[6]
Gate(  562)	cx q[7], q[8]
Gate(  563)	tdg q[6]
Gate(  564)	cx q[7], q[6]
Gate(  565)	tdg q[7]
Gate(  566)	tdg q[6]
Gate(  567)	 t q[8]
Gate(  568)	cx q[8], q[6]
Gate(  569)	cx q[7], q[8]
Gate(  570)	cx q[6], q[7]
Gate(  571)	 h q[8]
Gate(  572)	 h q[9]
Gate(  573)	 t q[5]
Gate(  574)	 t q[8]
Gate(  575)	 t q[9]
Gate(  576)	cx q[8], q[5]
Gate(  577)	cx q[9], q[8]
Gate(  578)	cx q[5], q[9]
Gate(  579)	tdg q[8]
Gate(  580)	cx q[5], q[8]
Gate(  581)	tdg q[5]
Gate(  582)	tdg q[8]
Gate(  583)	 t q[9]
Gate(  584)	cx q[9], q[8]
Gate(  585)	cx q[5], q[9]
Gate(  586)	cx q[8], q[5]
Gate(  587)	 h q[9]
Gate(  588)	 h q[10]
Gate(  589)	 t q[4]
Gate(  590)	 t q[9]
Gate(  591)	 t q[10]
Gate(  592)	cx q[9], q[4]
Gate(  593)	cx q[10], q[9]
Gate(  594)	cx q[4], q[10]
Gate(  595)	tdg q[9]
Gate(  596)	cx q[4], q[9]
Gate(  597)	tdg q[4]
Gate(  598)	tdg q[9]
Gate(  599)	 t q[10]
Gate(  600)	cx q[10], q[9]
Gate(  601)	cx q[4], q[10]
Gate(  602)	cx q[9], q[4]
Gate(  603)	 h q[10]
Gate(  604)	 h q[11]
Gate(  605)	 t q[3]
Gate(  606)	 t q[10]
Gate(  607)	 t q[11]
Gate(  608)	cx q[10], q[3]
Gate(  609)	cx q[11], q[10]
Gate(  610)	cx q[3], q[11]
Gate(  611)	tdg q[10]
Gate(  612)	cx q[3], q[10]
Gate(  613)	tdg q[3]
Gate(  614)	tdg q[10]
Gate(  615)	 t q[11]
Gate(  616)	cx q[11], q[10]
Gate(  617)	cx q[3], q[11]
Gate(  618)	cx q[10], q[3]
Gate(  619)	 h q[11]
Gate(  620)	 h q[12]
Gate(  621)	 t q[2]
Gate(  622)	 t q[11]
Gate(  623)	 t q[12]
Gate(  624)	cx q[11], q[2]
Gate(  625)	cx q[12], q[11]
Gate(  626)	cx q[2], q[12]
Gate(  627)	tdg q[11]
Gate(  628)	cx q[2], q[11]
Gate(  629)	tdg q[2]
Gate(  630)	tdg q[11]
Gate(  631)	 t q[12]
Gate(  632)	cx q[12], q[11]
Gate(  633)	cx q[2], q[12]
Gate(  634)	cx q[11], q[2]
Gate(  635)	 h q[12]
Gate(  636)	 h q[13]
Gate(  637)	 t q[1]
Gate(  638)	 t q[12]
Gate(  639)	 t q[13]
Gate(  640)	cx q[12], q[1]
Gate(  641)	cx q[13], q[12]
Gate(  642)	cx q[1], q[13]
Gate(  643)	tdg q[12]
Gate(  644)	cx q[1], q[12]
Gate(  645)	tdg q[1]
Gate(  646)	tdg q[12]
Gate(  647)	 t q[13]
Gate(  648)	cx q[13], q[12]
Gate(  649)	cx q[1], q[13]
Gate(  650)	cx q[12], q[1]
Gate(  651)	 h q[13]
Gate(  652)	 h q[14]
Gate(  653)	 t q[8]
Gate(  654)	 t q[7]
Gate(  655)	 t q[14]
Gate(  656)	cx q[7], q[8]
Gate(  657)	cx q[14], q[7]
Gate(  658)	cx q[8], q[14]
Gate(  659)	tdg q[7]
Gate(  660)	cx q[8], q[7]
Gate(  661)	tdg q[8]
Gate(  662)	tdg q[7]
Gate(  663)	 t q[14]
Gate(  664)	cx q[14], q[7]
Gate(  665)	cx q[8], q[14]
Gate(  666)	cx q[7], q[8]
Gate(  667)	 h q[14]
Gate(  668)	 h q[7]
Gate(  669)	 t q[9]
Gate(  670)	 t q[6]
Gate(  671)	 t q[7]
Gate(  672)	cx q[6], q[9]
Gate(  673)	cx q[7], q[6]
Gate(  674)	cx q[9], q[7]
Gate(  675)	tdg q[6]
Gate(  676)	cx q[9], q[6]
Gate(  677)	tdg q[9]
Gate(  678)	tdg q[6]
Gate(  679)	 t q[7]
Gate(  680)	cx q[7], q[6]
Gate(  681)	cx q[9], q[7]
Gate(  682)	cx q[6], q[9]
Gate(  683)	 h q[7]
Gate(  684)	 h q[6]
Gate(  685)	 t q[10]
Gate(  686)	 t q[5]
Gate(  687)	 t q[6]
Gate(  688)	cx q[5], q[10]
Gate(  689)	cx q[6], q[5]
Gate(  690)	cx q[10], q[6]
Gate(  691)	tdg q[5]
Gate(  692)	cx q[10], q[5]
Gate(  693)	tdg q[10]
Gate(  694)	tdg q[5]
Gate(  695)	 t q[6]
Gate(  696)	cx q[6], q[5]
Gate(  697)	cx q[10], q[6]
Gate(  698)	cx q[5], q[10]
Gate(  699)	 h q[6]
Gate(  700)	 h q[5]
Gate(  701)	 t q[11]
Gate(  702)	 t q[4]
Gate(  703)	 t q[5]
Gate(  704)	cx q[4], q[11]
Gate(  705)	cx q[5], q[4]
Gate(  706)	cx q[11], q[5]
Gate(  707)	tdg q[4]
Gate(  708)	cx q[11], q[4]
Gate(  709)	tdg q[11]
Gate(  710)	tdg q[4]
Gate(  711)	 t q[5]
Gate(  712)	cx q[5], q[4]
Gate(  713)	cx q[11], q[5]
Gate(  714)	cx q[4], q[11]
Gate(  715)	 h q[5]
Gate(  716)	 h q[4]
Gate(  717)	 t q[13]
Gate(  718)	 t q[12]
Gate(  719)	 t q[4]
Gate(  720)	cx q[12], q[13]
Gate(  721)	cx q[4], q[12]
Gate(  722)	cx q[13], q[4]
Gate(  723)	tdg q[12]
Gate(  724)	cx q[13], q[12]
Gate(  725)	tdg q[13]
Gate(  726)	tdg q[12]
Gate(  727)	 t q[4]
Gate(  728)	cx q[4], q[12]
Gate(  729)	cx q[13], q[4]
Gate(  730)	cx q[12], q[13]
Gate(  731)	 h q[4]
Gate(  732)	 h q[5]
Gate(  733)	 t q[11]
Gate(  734)	 t q[4]
Gate(  735)	 t q[5]
Gate(  736)	cx q[4], q[11]
Gate(  737)	cx q[5], q[4]
Gate(  738)	cx q[11], q[5]
Gate(  739)	tdg q[4]
Gate(  740)	cx q[11], q[4]
Gate(  741)	tdg q[11]
Gate(  742)	tdg q[4]
Gate(  743)	 t q[5]
Gate(  744)	cx q[5], q[4]
Gate(  745)	cx q[11], q[5]
Gate(  746)	cx q[4], q[11]
Gate(  747)	 h q[5]
Gate(  748)	 h q[6]
Gate(  749)	 t q[10]
Gate(  750)	 t q[5]
Gate(  751)	 t q[6]
Gate(  752)	cx q[5], q[10]
Gate(  753)	cx q[6], q[5]
Gate(  754)	cx q[10], q[6]
Gate(  755)	tdg q[5]
Gate(  756)	cx q[10], q[5]
Gate(  757)	tdg q[10]
Gate(  758)	tdg q[5]
Gate(  759)	 t q[6]
Gate(  760)	cx q[6], q[5]
Gate(  761)	cx q[10], q[6]
Gate(  762)	cx q[5], q[10]
Gate(  763)	 h q[6]
Gate(  764)	 h q[7]
Gate(  765)	 t q[9]
Gate(  766)	 t q[6]
Gate(  767)	 t q[7]
Gate(  768)	cx q[6], q[9]
Gate(  769)	cx q[7], q[6]
Gate(  770)	cx q[9], q[7]
Gate(  771)	tdg q[6]
Gate(  772)	cx q[9], q[6]
Gate(  773)	tdg q[9]
Gate(  774)	tdg q[6]
Gate(  775)	 t q[7]
Gate(  776)	cx q[7], q[6]
Gate(  777)	cx q[9], q[7]
Gate(  778)	cx q[6], q[9]
Gate(  779)	 h q[7]
Gate(  780)	 h q[14]
Gate(  781)	 t q[8]
Gate(  782)	 t q[7]
Gate(  783)	 t q[14]
Gate(  784)	cx q[7], q[8]
Gate(  785)	cx q[14], q[7]
Gate(  786)	cx q[8], q[14]
Gate(  787)	tdg q[7]
Gate(  788)	cx q[8], q[7]
Gate(  789)	tdg q[8]
Gate(  790)	tdg q[7]
Gate(  791)	 t q[14]
Gate(  792)	cx q[14], q[7]
Gate(  793)	cx q[8], q[14]
Gate(  794)	cx q[7], q[8]
Gate(  795)	 h q[14]
Gate(  796)	 h q[7]
Gate(  797)	 t q[9]
Gate(  798)	 t q[6]
Gate(  799)	 t q[7]
Gate(  800)	cx q[6], q[9]
Gate(  801)	cx q[7], q[6]
Gate(  802)	cx q[9], q[7]
Gate(  803)	tdg q[6]
Gate(  804)	cx q[9], q[6]
Gate(  805)	tdg q[9]
Gate(  806)	tdg q[6]
Gate(  807)	 t q[7]
Gate(  808)	cx q[7], q[6]
Gate(  809)	cx q[9], q[7]
Gate(  810)	cx q[6], q[9]
Gate(  811)	 h q[7]
Gate(  812)	 h q[6]
Gate(  813)	 t q[10]
Gate(  814)	 t q[5]
Gate(  815)	 t q[6]
Gate(  816)	cx q[5], q[10]
Gate(  817)	cx q[6], q[5]
Gate(  818)	cx q[10], q[6]
Gate(  819)	tdg q[5]
Gate(  820)	cx q[10], q[5]
Gate(  821)	tdg q[10]
