
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	cx q[4], q[0]
Gate(  103)	cx q[2], q[10]
Gate(  104)	cx q[4], q[2]
Gate(  105)	tdg q[10]
Gate(  106)	cx q[4], q[10]
Gate(  107)	tdg q[4]
Gate(  108)	tdg q[10]
Gate(  109)	 t q[2]
Gate(  110)	cx q[2], q[10]
Gate(  111)	cx q[4], q[2]
Gate(  112)	cx q[10], q[4]
Gate(  113)	 h q[2]
Gate(  114)	 h q[10]
Gate(  115)	 t q[7]
Gate(  116)	 t q[5]
Gate(  117)	 t q[10]
Gate(  118)	cx q[5], q[7]
Gate(  119)	cx q[10], q[5]
Gate(  120)	cx q[7], q[10]
Gate(  121)	tdg q[5]
Gate(  122)	cx q[7], q[5]
Gate(  123)	tdg q[7]
Gate(  124)	tdg q[5]
Gate(  125)	 t q[10]
Gate(  126)	cx q[10], q[5]
Gate(  127)	cx q[7], q[10]
Gate(  128)	cx q[5], q[7]
Gate(  129)	 h q[10]
Gate(  130)	cx q[7], q[1]
Gate(  131)	cx q[7], q[0]
Gate(  132)	 x q[7]
Gate(  133)	 h q[3]
Gate(  134)	 t q[4]
Gate(  135)	 t q[8]
Gate(  136)	 t q[3]
Gate(  137)	cx q[8], q[4]
Gate(  138)	cx q[3], q[8]
Gate(  139)	cx q[4], q[3]
Gate(  140)	tdg q[8]
Gate(  141)	cx q[4], q[8]
Gate(  142)	tdg q[4]
Gate(  143)	tdg q[8]
Gate(  144)	 t q[3]
Gate(  145)	cx q[3], q[8]
Gate(  146)	cx q[4], q[3]
Gate(  147)	cx q[8], q[4]
Gate(  148)	 h q[3]
Gate(  149)	 h q[8]
Gate(  150)	 t q[5]
Gate(  151)	 t q[6]
Gate(  152)	 t q[8]
Gate(  153)	cx q[6], q[5]
Gate(  154)	cx q[8], q[6]
Gate(  155)	cx q[5], q[8]
Gate(  156)	tdg q[6]
Gate(  157)	cx q[5], q[6]
Gate(  158)	tdg q[5]
Gate(  159)	tdg q[6]
Gate(  160)	 t q[8]
Gate(  161)	cx q[8], q[6]
Gate(  162)	cx q[5], q[8]
Gate(  163)	cx q[6], q[5]
Gate(  164)	 h q[8]
Gate(  165)	 h q[6]
Gate(  166)	 t q[7]
Gate(  167)	 t q[2]
Gate(  168)	 t q[6]
Gate(  169)	cx q[2], q[7]
Gate(  170)	cx q[6], q[2]
Gate(  171)	cx q[7], q[6]
Gate(  172)	tdg q[2]
Gate(  173)	cx q[7], q[2]
Gate(  174)	tdg q[7]
Gate(  175)	tdg q[2]
Gate(  176)	 t q[6]
Gate(  177)	cx q[6], q[2]
Gate(  178)	cx q[7], q[6]
Gate(  179)	cx q[2], q[7]
Gate(  180)	 h q[6]
Gate(  181)	 h q[2]
Gate(  182)	 t q[10]
Gate(  183)	 t q[9]
Gate(  184)	 t q[2]
Gate(  185)	cx q[9], q[10]
Gate(  186)	cx q[2], q[9]
Gate(  187)	cx q[10], q[2]
Gate(  188)	tdg q[9]
Gate(  189)	cx q[10], q[9]
Gate(  190)	tdg q[10]
Gate(  191)	tdg q[9]
Gate(  192)	 t q[2]
Gate(  193)	cx q[2], q[9]
Gate(  194)	cx q[10], q[2]
Gate(  195)	cx q[9], q[10]
Gate(  196)	 h q[2]
Gate(  197)	 h q[6]
Gate(  198)	 t q[7]
Gate(  199)	 t q[2]
Gate(  200)	 t q[6]
Gate(  201)	cx q[2], q[7]
Gate(  202)	cx q[6], q[2]
Gate(  203)	cx q[7], q[6]
Gate(  204)	tdg q[2]
Gate(  205)	cx q[7], q[2]
Gate(  206)	tdg q[7]
Gate(  207)	tdg q[2]
Gate(  208)	 t q[6]
Gate(  209)	cx q[6], q[2]
Gate(  210)	cx q[7], q[6]
Gate(  211)	cx q[2], q[7]
Gate(  212)	 h q[6]
Gate(  213)	 h q[8]
Gate(  214)	 t q[5]
Gate(  215)	 t q[6]
Gate(  216)	 t q[8]
Gate(  217)	cx q[6], q[5]
Gate(  218)	cx q[8], q[6]
Gate(  219)	cx q[5], q[8]
Gate(  220)	tdg q[6]
Gate(  221)	cx q[5], q[6]
Gate(  222)	tdg q[5]
Gate(  223)	tdg q[6]
Gate(  224)	 t q[8]
Gate(  225)	cx q[8], q[6]
Gate(  226)	cx q[5], q[8]
Gate(  227)	cx q[6], q[5]
Gate(  228)	 h q[8]
Gate(  229)	 h q[3]
Gate(  230)	 t q[4]
Gate(  231)	 t q[8]
Gate(  232)	 t q[3]
Gate(  233)	cx q[8], q[4]
Gate(  234)	cx q[3], q[8]
Gate(  235)	cx q[4], q[3]
Gate(  236)	tdg q[8]
Gate(  237)	cx q[4], q[8]
Gate(  238)	tdg q[4]
Gate(  239)	tdg q[8]
Gate(  240)	 t q[3]
Gate(  241)	cx q[3], q[8]
Gate(  242)	cx q[4], q[3]
Gate(  243)	cx q[8], q[4]
Gate(  244)	 h q[3]
Gate(  245)	 h q[8]
Gate(  246)	 t q[5]
Gate(  247)	 t q[6]
Gate(  248)	 t q[8]
Gate(  249)	cx q[6], q[5]
Gate(  250)	cx q[8], q[6]
Gate(  251)	cx q[5], q[8]
Gate(  252)	tdg q[6]
Gate(  253)	cx q[5], q[6]
Gate(  254)	tdg q[5]
Gate(  255)	tdg q[6]
Gate(  256)	 t q[8]
Gate(  257)	cx q[8], q[6]
Gate(  258)	cx q[5], q[8]
Gate(  259)	cx q[6], q[5]
Gate(  260)	 h q[8]
Gate(  261)	 h q[6]
Gate(  262)	 t q[7]
Gate(  263)	 t q[2]
Gate(  264)	 t q[6]
Gate(  265)	cx q[2], q[7]
Gate(  266)	cx q[6], q[2]
Gate(  267)	cx q[7], q[6]
Gate(  268)	tdg q[2]
Gate(  269)	cx q[7], q[2]
Gate(  270)	tdg q[7]
Gate(  271)	tdg q[2]
Gate(  272)	 t q[6]
Gate(  273)	cx q[6], q[2]
Gate(  274)	cx q[7], q[6]
Gate(  275)	cx q[2], q[7]
Gate(  276)	 h q[6]
Gate(  277)	 h q[2]
Gate(  278)	 t q[10]
Gate(  279)	 t q[9]
Gate(  280)	 t q[2]
Gate(  281)	cx q[9], q[10]
Gate(  282)	cx q[2], q[9]
Gate(  283)	cx q[10], q[2]
Gate(  284)	tdg q[9]
Gate(  285)	cx q[10], q[9]
Gate(  286)	tdg q[10]
Gate(  287)	tdg q[9]
Gate(  288)	 t q[2]
Gate(  289)	cx q[2], q[9]
Gate(  290)	cx q[10], q[2]
Gate(  291)	cx q[9], q[10]
Gate(  292)	 h q[2]
Gate(  293)	 h q[6]
Gate(  294)	 t q[7]
Gate(  295)	 t q[2]
Gate(  296)	 t q[6]
Gate(  297)	cx q[2], q[7]
Gate(  298)	cx q[6], q[2]
Gate(  299)	cx q[7], q[6]
Gate(  300)	tdg q[2]
Gate(  301)	cx q[7], q[2]
Gate(  302)	tdg q[7]
Gate(  303)	tdg q[2]
Gate(  304)	 t q[6]
Gate(  305)	cx q[6], q[2]
Gate(  306)	cx q[7], q[6]
Gate(  307)	cx q[2], q[7]
Gate(  308)	 h q[6]
Gate(  309)	 h q[8]
Gate(  310)	 t q[5]
Gate(  311)	 t q[6]
Gate(  312)	 t q[8]
Gate(  313)	cx q[6], q[5]
Gate(  314)	cx q[8], q[6]
Gate(  315)	cx q[5], q[8]
Gate(  316)	tdg q[6]
Gate(  317)	cx q[5], q[6]
Gate(  318)	tdg q[5]
Gate(  319)	tdg q[6]
Gate(  320)	 t q[8]
Gate(  321)	cx q[8], q[6]
Gate(  322)	cx q[5], q[8]
Gate(  323)	cx q[6], q[5]
Gate(  324)	 h q[8]
Gate(  325)	 h q[3]
Gate(  326)	 t q[4]
Gate(  327)	 t q[6]
Gate(  328)	 t q[3]
Gate(  329)	cx q[6], q[4]
Gate(  330)	cx q[3], q[6]
Gate(  331)	cx q[4], q[3]
Gate(  332)	tdg q[6]
Gate(  333)	cx q[4], q[6]
Gate(  334)	tdg q[4]
Gate(  335)	tdg q[6]
Gate(  336)	 t q[3]
Gate(  337)	cx q[3], q[6]
Gate(  338)	cx q[4], q[3]
Gate(  339)	cx q[6], q[4]
Gate(  340)	 h q[3]
Gate(  341)	 h q[6]
Gate(  342)	 t q[7]
Gate(  343)	 t q[5]
Gate(  344)	 t q[6]
Gate(  345)	cx q[5], q[7]
Gate(  346)	cx q[6], q[5]
Gate(  347)	cx q[7], q[6]
Gate(  348)	tdg q[5]
Gate(  349)	cx q[7], q[5]
Gate(  350)	tdg q[7]
Gate(  351)	tdg q[5]
Gate(  352)	 t q[6]
Gate(  353)	cx q[6], q[5]
Gate(  354)	cx q[7], q[6]
Gate(  355)	cx q[5], q[7]
Gate(  356)	 h q[6]
Gate(  357)	 h q[5]
Gate(  358)	 t q[8]
Gate(  359)	 t q[2]
Gate(  360)	 t q[5]
Gate(  361)	cx q[2], q[8]
Gate(  362)	cx q[5], q[2]
Gate(  363)	cx q[8], q[5]
Gate(  364)	tdg q[2]
Gate(  365)	cx q[8], q[2]
Gate(  366)	tdg q[8]
Gate(  367)	tdg q[2]
Gate(  368)	 t q[5]
Gate(  369)	cx q[5], q[2]
Gate(  370)	cx q[8], q[5]
Gate(  371)	cx q[2], q[8]
Gate(  372)	 h q[5]
Gate(  373)	 h q[2]
Gate(  374)	 t q[10]
Gate(  375)	 t q[9]
Gate(  376)	 t q[2]
Gate(  377)	cx q[9], q[10]
Gate(  378)	cx q[2], q[9]
Gate(  379)	cx q[10], q[2]
Gate(  380)	tdg q[9]
Gate(  381)	cx q[10], q[9]
Gate(  382)	tdg q[10]
Gate(  383)	tdg q[9]
Gate(  384)	 t q[2]
Gate(  385)	cx q[2], q[9]
Gate(  386)	cx q[10], q[2]
Gate(  387)	cx q[9], q[10]
Gate(  388)	 h q[2]
Gate(  389)	 h q[5]
Gate(  390)	 t q[8]
Gate(  391)	 t q[2]
Gate(  392)	 t q[5]
Gate(  393)	cx q[2], q[8]
Gate(  394)	cx q[5], q[2]
Gate(  395)	cx q[8], q[5]
Gate(  396)	tdg q[2]
Gate(  397)	cx q[8], q[2]
Gate(  398)	tdg q[8]
Gate(  399)	tdg q[2]
Gate(  400)	 t q[5]
Gate(  401)	cx q[5], q[2]
Gate(  402)	cx q[8], q[5]
Gate(  403)	cx q[2], q[8]
Gate(  404)	 h q[5]
Gate(  405)	 h q[6]
Gate(  406)	 t q[7]
Gate(  407)	 t q[5]
Gate(  408)	 t q[6]
Gate(  409)	cx q[5], q[7]
Gate(  410)	cx q[6], q[5]
Gate(  411)	cx q[7], q[6]
Gate(  412)	tdg q[5]
Gate(  413)	cx q[7], q[5]
Gate(  414)	tdg q[7]
Gate(  415)	tdg q[5]
Gate(  416)	 t q[6]
Gate(  417)	cx q[6], q[5]
Gate(  418)	cx q[7], q[6]
Gate(  419)	cx q[5], q[7]
Gate(  420)	 h q[6]
Gate(  421)	 h q[3]
Gate(  422)	 t q[4]
Gate(  423)	 t q[6]
Gate(  424)	 t q[3]
Gate(  425)	cx q[6], q[4]
Gate(  426)	cx q[3], q[6]
Gate(  427)	cx q[4], q[3]
Gate(  428)	tdg q[6]
Gate(  429)	cx q[4], q[6]
Gate(  430)	tdg q[4]
Gate(  431)	tdg q[6]
Gate(  432)	 t q[3]
Gate(  433)	cx q[3], q[6]
Gate(  434)	cx q[4], q[3]
Gate(  435)	cx q[6], q[4]
Gate(  436)	 h q[3]
Gate(  437)	 h q[6]
Gate(  438)	 t q[7]
Gate(  439)	 t q[5]
Gate(  440)	 t q[6]
Gate(  441)	cx q[5], q[7]
Gate(  442)	cx q[6], q[5]
Gate(  443)	cx q[7], q[6]
Gate(  444)	tdg q[5]
Gate(  445)	cx q[7], q[5]
Gate(  446)	tdg q[7]
Gate(  447)	tdg q[5]
Gate(  448)	 t q[6]
Gate(  449)	cx q[6], q[5]
Gate(  450)	cx q[7], q[6]
Gate(  451)	cx q[5], q[7]
Gate(  452)	 h q[6]
Gate(  453)	 h q[5]
Gate(  454)	 t q[8]
Gate(  455)	 t q[2]
Gate(  456)	 t q[5]
Gate(  457)	cx q[2], q[8]
Gate(  458)	cx q[5], q[2]
Gate(  459)	cx q[8], q[5]
Gate(  460)	tdg q[2]
Gate(  461)	cx q[8], q[2]
Gate(  462)	tdg q[8]
Gate(  463)	tdg q[2]
Gate(  464)	 t q[5]
Gate(  465)	cx q[5], q[2]
Gate(  466)	cx q[8], q[5]
Gate(  467)	cx q[2], q[8]
Gate(  468)	 h q[5]
Gate(  469)	 h q[2]
Gate(  470)	 t q[10]
Gate(  471)	 t q[9]
Gate(  472)	 t q[2]
Gate(  473)	cx q[9], q[10]
Gate(  474)	cx q[2], q[9]
Gate(  475)	cx q[10], q[2]
Gate(  476)	tdg q[9]
Gate(  477)	cx q[10], q[9]
Gate(  478)	tdg q[10]
Gate(  479)	tdg q[9]
Gate(  480)	 t q[2]
Gate(  481)	cx q[2], q[9]
Gate(  482)	cx q[10], q[2]
Gate(  483)	cx q[9], q[10]
Gate(  484)	 h q[2]
Gate(  485)	 h q[5]
Gate(  486)	 t q[8]
Gate(  487)	 t q[2]
Gate(  488)	 t q[5]
Gate(  489)	cx q[2], q[8]
Gate(  490)	cx q[5], q[2]
Gate(  491)	cx q[8], q[5]
Gate(  492)	tdg q[2]
Gate(  493)	cx q[8], q[2]
Gate(  494)	tdg q[8]
Gate(  495)	tdg q[2]
Gate(  496)	 t q[5]
Gate(  497)	cx q[5], q[2]
Gate(  498)	cx q[8], q[5]
Gate(  499)	cx q[2], q[8]
Gate(  500)	 h q[5]
Gate(  501)	 h q[6]
Gate(  502)	 t q[7]
Gate(  503)	 t q[5]
Gate(  504)	 t q[6]
Gate(  505)	cx q[5], q[7]
Gate(  506)	cx q[6], q[5]
Gate(  507)	cx q[7], q[6]
Gate(  508)	tdg q[5]
Gate(  509)	cx q[7], q[5]
Gate(  510)	tdg q[7]
Gate(  511)	tdg q[5]
Gate(  512)	 t q[6]
Gate(  513)	cx q[6], q[5]
Gate(  514)	cx q[7], q[6]
Gate(  515)	cx q[5], q[7]
Gate(  516)	 h q[6]
Gate(  517)	 h q[1]
Gate(  518)	 t q[4]
Gate(  519)	 t q[9]
Gate(  520)	 t q[1]
Gate(  521)	cx q[9], q[4]
Gate(  522)	cx q[1], q[9]
Gate(  523)	cx q[4], q[1]
Gate(  524)	tdg q[9]
Gate(  525)	cx q[4], q[9]
Gate(  526)	tdg q[4]
Gate(  527)	tdg q[9]
Gate(  528)	 t q[1]
Gate(  529)	cx q[1], q[9]
Gate(  530)	cx q[4], q[1]
Gate(  531)	cx q[9], q[4]
Gate(  532)	 h q[1]
Gate(  533)	 h q[9]
Gate(  534)	 t q[10]
Gate(  535)	 t q[7]
Gate(  536)	 t q[9]
Gate(  537)	cx q[7], q[10]
Gate(  538)	cx q[9], q[7]
Gate(  539)	cx q[10], q[9]
Gate(  540)	tdg q[7]
Gate(  541)	cx q[10], q[7]
Gate(  542)	tdg q[10]
Gate(  543)	tdg q[7]
Gate(  544)	 t q[9]
Gate(  545)	cx q[9], q[7]
Gate(  546)	cx q[10], q[9]
Gate(  547)	cx q[7], q[10]
Gate(  548)	 h q[9]
Gate(  549)	 h q[1]
Gate(  550)	 t q[4]
Gate(  551)	 t q[9]
Gate(  552)	 t q[1]
Gate(  553)	cx q[9], q[4]
Gate(  554)	cx q[1], q[9]
Gate(  555)	cx q[4], q[1]
Gate(  556)	tdg q[9]
Gate(  557)	cx q[4], q[9]
Gate(  558)	tdg q[4]
Gate(  559)	tdg q[9]
Gate(  560)	 t q[1]
Gate(  561)	cx q[1], q[9]
Gate(  562)	cx q[4], q[1]
Gate(  563)	cx q[9], q[4]
Gate(  564)	 h q[1]
Gate(  565)	 h q[9]
Gate(  566)	 t q[10]
Gate(  567)	 t q[7]
Gate(  568)	 t q[9]
Gate(  569)	cx q[7], q[10]
Gate(  570)	cx q[9], q[7]
Gate(  571)	cx q[10], q[9]
Gate(  572)	tdg q[7]
Gate(  573)	cx q[10], q[7]
Gate(  574)	tdg q[10]
Gate(  575)	tdg q[7]
Gate(  576)	 t q[9]
Gate(  577)	cx q[9], q[7]
Gate(  578)	cx q[10], q[9]
Gate(  579)	cx q[7], q[10]
Gate(  580)	 h q[9]
Gate(  581)	 h q[2]
Gate(  582)	 t q[4]
Gate(  583)	 t q[9]
Gate(  584)	 t q[2]
Gate(  585)	cx q[9], q[4]
Gate(  586)	cx q[2], q[9]
Gate(  587)	cx q[4], q[2]
Gate(  588)	tdg q[9]
Gate(  589)	cx q[4], q[9]
Gate(  590)	tdg q[4]
Gate(  591)	tdg q[9]
Gate(  592)	 t q[2]
Gate(  593)	cx q[2], q[9]
Gate(  594)	cx q[4], q[2]
Gate(  595)	cx q[9], q[4]
Gate(  596)	 h q[2]
Gate(  597)	 h q[9]
Gate(  598)	 t q[7]
Gate(  599)	 t q[6]
Gate(  600)	 t q[9]
Gate(  601)	cx q[6], q[7]
Gate(  602)	cx q[9], q[6]
Gate(  603)	cx q[7], q[9]
Gate(  604)	tdg q[6]
Gate(  605)	cx q[7], q[6]
Gate(  606)	tdg q[7]
Gate(  607)	tdg q[6]
Gate(  608)	 t q[9]
Gate(  609)	cx q[9], q[6]
Gate(  610)	cx q[7], q[9]
Gate(  611)	cx q[6], q[7]
Gate(  612)	 h q[9]
Gate(  613)	 h q[6]
Gate(  614)	 t q[10]
Gate(  615)	 t q[8]
Gate(  616)	 t q[6]
Gate(  617)	cx q[8], q[10]
Gate(  618)	cx q[6], q[8]
Gate(  619)	cx q[10], q[6]
Gate(  620)	tdg q[8]
Gate(  621)	cx q[10], q[8]
Gate(  622)	tdg q[10]
Gate(  623)	tdg q[8]
Gate(  624)	 t q[6]
Gate(  625)	cx q[6], q[8]
Gate(  626)	cx q[10], q[6]
Gate(  627)	cx q[8], q[10]
Gate(  628)	 h q[6]
Gate(  629)	 h q[9]
Gate(  630)	 t q[7]
Gate(  631)	 t q[6]
Gate(  632)	 t q[9]
Gate(  633)	cx q[6], q[7]
Gate(  634)	cx q[9], q[6]
Gate(  635)	cx q[7], q[9]
Gate(  636)	tdg q[6]
Gate(  637)	cx q[7], q[6]
Gate(  638)	tdg q[7]
Gate(  639)	tdg q[6]
Gate(  640)	 t q[9]
Gate(  641)	cx q[9], q[6]
Gate(  642)	cx q[7], q[9]
Gate(  643)	cx q[6], q[7]
Gate(  644)	 h q[9]
Gate(  645)	 h q[2]
Gate(  646)	 t q[4]
Gate(  647)	 t q[9]
Gate(  648)	 t q[2]
Gate(  649)	cx q[9], q[4]
Gate(  650)	cx q[2], q[9]
Gate(  651)	cx q[4], q[2]
Gate(  652)	tdg q[9]
Gate(  653)	cx q[4], q[9]
Gate(  654)	tdg q[4]
Gate(  655)	tdg q[9]
Gate(  656)	 t q[2]
Gate(  657)	cx q[2], q[9]
Gate(  658)	cx q[4], q[2]
Gate(  659)	cx q[9], q[4]
Gate(  660)	 h q[2]
Gate(  661)	 h q[9]
Gate(  662)	 t q[7]
Gate(  663)	 t q[6]
Gate(  664)	 t q[9]
Gate(  665)	cx q[6], q[7]
Gate(  666)	cx q[9], q[6]
Gate(  667)	cx q[7], q[9]
Gate(  668)	tdg q[6]
Gate(  669)	cx q[7], q[6]
Gate(  670)	tdg q[7]
Gate(  671)	tdg q[6]
Gate(  672)	 t q[9]
Gate(  673)	cx q[9], q[6]
Gate(  674)	cx q[7], q[9]
Gate(  675)	cx q[6], q[7]
Gate(  676)	 h q[9]
Gate(  677)	 h q[6]
Gate(  678)	 t q[10]
Gate(  679)	 t q[8]
Gate(  680)	 t q[6]
Gate(  681)	cx q[8], q[10]
Gate(  682)	cx q[6], q[8]
Gate(  683)	cx q[10], q[6]
Gate(  684)	tdg q[8]
Gate(  685)	cx q[10], q[8]
Gate(  686)	tdg q[10]
Gate(  687)	tdg q[8]
Gate(  688)	 t q[6]
Gate(  689)	cx q[6], q[8]
Gate(  690)	cx q[10], q[6]
Gate(  691)	cx q[8], q[10]
Gate(  692)	 h q[6]
Gate(  693)	 h q[9]
Gate(  694)	 t q[7]
Gate(  695)	 t q[6]
Gate(  696)	 t q[9]
Gate(  697)	cx q[6], q[7]
Gate(  698)	cx q[9], q[6]
Gate(  699)	cx q[7], q[9]
Gate(  700)	tdg q[6]
Gate(  701)	cx q[7], q[6]
Gate(  702)	tdg q[7]
Gate(  703)	tdg q[6]
Gate(  704)	 t q[9]
Gate(  705)	cx q[9], q[6]
Gate(  706)	cx q[7], q[9]
Gate(  707)	cx q[6], q[7]
Gate(  708)	 h q[9]
Gate(  709)	 h q[3]
Gate(  710)	 t q[5]
Gate(  711)	 t q[9]
Gate(  712)	 t q[3]
Gate(  713)	cx q[9], q[5]
Gate(  714)	cx q[3], q[9]
Gate(  715)	cx q[5], q[3]
Gate(  716)	tdg q[9]
Gate(  717)	cx q[5], q[9]
Gate(  718)	tdg q[5]
Gate(  719)	tdg q[9]
Gate(  720)	 t q[3]
Gate(  721)	cx q[3], q[9]
Gate(  722)	cx q[5], q[3]
Gate(  723)	cx q[9], q[5]
Gate(  724)	 h q[3]
Gate(  725)	 h q[9]
Gate(  726)	 t q[10]
Gate(  727)	 t q[7]
Gate(  728)	 t q[9]
Gate(  729)	cx q[7], q[10]
Gate(  730)	cx q[9], q[7]
Gate(  731)	cx q[10], q[9]
Gate(  732)	tdg q[7]
Gate(  733)	cx q[10], q[7]
Gate(  734)	tdg q[10]
Gate(  735)	tdg q[7]
Gate(  736)	 t q[9]
Gate(  737)	cx q[9], q[7]
Gate(  738)	cx q[10], q[9]
Gate(  739)	cx q[7], q[10]
Gate(  740)	 h q[9]
Gate(  741)	 h q[3]
Gate(  742)	 t q[5]
Gate(  743)	 t q[9]
Gate(  744)	 t q[3]
Gate(  745)	cx q[9], q[5]
Gate(  746)	cx q[3], q[9]
Gate(  747)	cx q[5], q[3]
Gate(  748)	tdg q[9]
Gate(  749)	cx q[5], q[9]
Gate(  750)	tdg q[5]
Gate(  751)	tdg q[9]
Gate(  752)	 t q[3]
Gate(  753)	cx q[3], q[9]
Gate(  754)	cx q[5], q[3]
Gate(  755)	cx q[9], q[5]
Gate(  756)	 h q[3]
Gate(  757)	 h q[9]
Gate(  758)	 t q[10]
Gate(  759)	 t q[7]
Gate(  760)	 t q[9]
Gate(  761)	cx q[7], q[10]
Gate(  762)	cx q[9], q[7]
Gate(  763)	cx q[10], q[9]
Gate(  764)	tdg q[7]
Gate(  765)	cx q[10], q[7]
Gate(  766)	tdg q[10]
Gate(  767)	tdg q[7]
Gate(  768)	 t q[9]
Gate(  769)	cx q[9], q[7]
Gate(  770)	cx q[10], q[9]
Gate(  771)	cx q[7], q[10]
Gate(  772)	 h q[9]
Gate(  773)	 h q[2]
Gate(  774)	 t q[5]
Gate(  775)	 t q[9]
Gate(  776)	 t q[2]
Gate(  777)	cx q[9], q[5]
Gate(  778)	cx q[2], q[9]
Gate(  779)	cx q[5], q[2]
Gate(  780)	tdg q[9]
Gate(  781)	cx q[5], q[9]
Gate(  782)	tdg q[5]
Gate(  783)	tdg q[9]
Gate(  784)	 t q[2]
Gate(  785)	cx q[2], q[9]
Gate(  786)	cx q[5], q[2]
Gate(  787)	cx q[9], q[5]
Gate(  788)	 h q[2]
Gate(  789)	 h q[9]
Gate(  790)	 t q[10]
Gate(  791)	 t q[7]
Gate(  792)	 t q[9]
Gate(  793)	cx q[7], q[10]
Gate(  794)	cx q[9], q[7]
Gate(  795)	cx q[10], q[9]
Gate(  796)	tdg q[7]
Gate(  797)	cx q[10], q[7]
Gate(  798)	tdg q[10]
Gate(  799)	tdg q[7]
Gate(  800)	 t q[9]
Gate(  801)	cx q[9], q[7]
Gate(  802)	cx q[10], q[9]
Gate(  803)	cx q[7], q[10]
Gate(  804)	 h q[9]
Gate(  805)	 h q[2]
Gate(  806)	 t q[5]
Gate(  807)	 t q[9]
Gate(  808)	 t q[2]
Gate(  809)	cx q[9], q[5]
Gate(  810)	cx q[2], q[9]
Gate(  811)	cx q[5], q[2]
Gate(  812)	tdg q[9]
Gate(  813)	cx q[5], q[9]
Gate(  814)	tdg q[5]
Gate(  815)	tdg q[9]
Gate(  816)	 t q[2]
Gate(  817)	cx q[2], q[9]
Gate(  818)	cx q[5], q[2]
Gate(  819)	cx q[9], q[5]
