
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	cx q[10], q[2]
Gate(   75)	cx q[6], q[11]
Gate(   76)	tdg q[6]
Gate(   77)	tdg q[11]
Gate(   78)	 t q[3]
Gate(   79)	cx q[3], q[11]
Gate(   80)	cx q[6], q[3]
Gate(   81)	cx q[11], q[6]
Gate(   82)	 h q[3]
Gate(   83)	 h q[11]
Gate(   84)	 t q[8]
Gate(   85)	 t q[7]
Gate(   86)	 t q[11]
Gate(   87)	cx q[7], q[8]
Gate(   88)	cx q[11], q[7]
Gate(   89)	cx q[8], q[11]
Gate(   90)	tdg q[7]
Gate(   91)	cx q[8], q[7]
Gate(   92)	tdg q[8]
Gate(   93)	tdg q[7]
Gate(   94)	 t q[11]
Gate(   95)	cx q[11], q[7]
Gate(   96)	cx q[8], q[11]
Gate(   97)	cx q[7], q[8]
Gate(   98)	 h q[11]
Gate(   99)	 h q[3]
Gate(  100)	 t q[6]
Gate(  101)	 t q[11]
Gate(  102)	 t q[3]
Gate(  103)	cx q[11], q[6]
Gate(  104)	cx q[3], q[11]
Gate(  105)	cx q[6], q[3]
Gate(  106)	tdg q[11]
Gate(  107)	cx q[6], q[11]
Gate(  108)	tdg q[6]
Gate(  109)	tdg q[11]
Gate(  110)	 t q[3]
Gate(  111)	cx q[3], q[11]
Gate(  112)	cx q[6], q[3]
Gate(  113)	cx q[11], q[6]
Gate(  114)	 h q[3]
Gate(  115)	 h q[11]
Gate(  116)	 t q[8]
Gate(  117)	 t q[7]
Gate(  118)	 t q[11]
Gate(  119)	cx q[7], q[8]
Gate(  120)	cx q[11], q[7]
Gate(  121)	cx q[8], q[11]
Gate(  122)	tdg q[7]
Gate(  123)	cx q[8], q[7]
Gate(  124)	tdg q[8]
Gate(  125)	tdg q[7]
Gate(  126)	 t q[11]
Gate(  127)	cx q[11], q[7]
Gate(  128)	cx q[8], q[11]
Gate(  129)	cx q[7], q[8]
Gate(  130)	 h q[11]
Gate(  131)	 h q[2]
Gate(  132)	 t q[9]
Gate(  133)	 t q[4]
Gate(  134)	 t q[2]
Gate(  135)	cx q[4], q[9]
Gate(  136)	cx q[2], q[4]
Gate(  137)	cx q[9], q[2]
Gate(  138)	tdg q[4]
Gate(  139)	cx q[9], q[4]
Gate(  140)	tdg q[9]
Gate(  141)	tdg q[4]
Gate(  142)	 t q[2]
Gate(  143)	cx q[2], q[4]
Gate(  144)	cx q[9], q[2]
Gate(  145)	cx q[4], q[9]
Gate(  146)	 h q[2]
Gate(  147)	 h q[3]
Gate(  148)	 t q[11]
Gate(  149)	 t q[7]
Gate(  150)	 t q[3]
Gate(  151)	cx q[7], q[11]
Gate(  152)	cx q[3], q[7]
Gate(  153)	cx q[11], q[3]
Gate(  154)	tdg q[7]
Gate(  155)	cx q[11], q[7]
Gate(  156)	tdg q[11]
Gate(  157)	tdg q[7]
Gate(  158)	 t q[3]
Gate(  159)	cx q[3], q[7]
Gate(  160)	cx q[11], q[3]
Gate(  161)	cx q[7], q[11]
Gate(  162)	 h q[3]
Gate(  163)	 h q[2]
Gate(  164)	 t q[11]
Gate(  165)	 t q[7]
Gate(  166)	 t q[2]
Gate(  167)	cx q[7], q[11]
Gate(  168)	cx q[2], q[7]
Gate(  169)	cx q[11], q[2]
Gate(  170)	tdg q[7]
Gate(  171)	cx q[11], q[7]
Gate(  172)	tdg q[11]
Gate(  173)	tdg q[7]
Gate(  174)	 t q[2]
Gate(  175)	cx q[2], q[7]
Gate(  176)	cx q[11], q[2]
Gate(  177)	cx q[7], q[11]
Gate(  178)	 h q[2]
Gate(  179)	 h q[3]
Gate(  180)	 t q[4]
Gate(  181)	 t q[10]
Gate(  182)	 t q[3]
Gate(  183)	cx q[10], q[4]
Gate(  184)	cx q[3], q[10]
Gate(  185)	cx q[4], q[3]
Gate(  186)	tdg q[10]
Gate(  187)	cx q[4], q[10]
Gate(  188)	tdg q[4]
Gate(  189)	tdg q[10]
Gate(  190)	 t q[3]
Gate(  191)	cx q[3], q[10]
Gate(  192)	cx q[4], q[3]
Gate(  193)	cx q[10], q[4]
Gate(  194)	 h q[3]
Gate(  195)	 h q[10]
Gate(  196)	 t q[11]
Gate(  197)	 t q[6]
Gate(  198)	 t q[10]
Gate(  199)	cx q[6], q[11]
Gate(  200)	cx q[10], q[6]
Gate(  201)	cx q[11], q[10]
Gate(  202)	tdg q[6]
Gate(  203)	cx q[11], q[6]
Gate(  204)	tdg q[11]
Gate(  205)	tdg q[6]
Gate(  206)	 t q[10]
Gate(  207)	cx q[10], q[6]
Gate(  208)	cx q[11], q[10]
Gate(  209)	cx q[6], q[11]
Gate(  210)	 h q[10]
Gate(  211)	 h q[3]
Gate(  212)	 t q[4]
Gate(  213)	 t q[10]
Gate(  214)	 t q[3]
Gate(  215)	cx q[10], q[4]
Gate(  216)	cx q[3], q[10]
Gate(  217)	cx q[4], q[3]
Gate(  218)	tdg q[10]
Gate(  219)	cx q[4], q[10]
Gate(  220)	tdg q[4]
Gate(  221)	tdg q[10]
Gate(  222)	 t q[3]
Gate(  223)	cx q[3], q[10]
Gate(  224)	cx q[4], q[3]
Gate(  225)	cx q[10], q[4]
Gate(  226)	 h q[3]
Gate(  227)	 h q[10]
Gate(  228)	 t q[11]
Gate(  229)	 t q[6]
Gate(  230)	 t q[10]
Gate(  231)	cx q[6], q[11]
Gate(  232)	cx q[10], q[6]
Gate(  233)	cx q[11], q[10]
Gate(  234)	tdg q[6]
Gate(  235)	cx q[11], q[6]
Gate(  236)	tdg q[11]
Gate(  237)	tdg q[6]
Gate(  238)	 t q[10]
Gate(  239)	cx q[10], q[6]
Gate(  240)	cx q[11], q[10]
Gate(  241)	cx q[6], q[11]
Gate(  242)	 h q[10]
Gate(  243)	 h q[0]
Gate(  244)	 t q[8]
Gate(  245)	 t q[7]
Gate(  246)	 t q[0]
Gate(  247)	cx q[7], q[8]
Gate(  248)	cx q[0], q[7]
Gate(  249)	cx q[8], q[0]
Gate(  250)	tdg q[7]
Gate(  251)	cx q[8], q[7]
Gate(  252)	tdg q[8]
Gate(  253)	tdg q[7]
Gate(  254)	 t q[0]
Gate(  255)	cx q[0], q[7]
Gate(  256)	cx q[8], q[0]
Gate(  257)	cx q[7], q[8]
Gate(  258)	 h q[0]
Gate(  259)	 h q[7]
Gate(  260)	 t q[9]
Gate(  261)	 t q[6]
Gate(  262)	 t q[7]
Gate(  263)	cx q[6], q[9]
Gate(  264)	cx q[7], q[6]
Gate(  265)	cx q[9], q[7]
Gate(  266)	tdg q[6]
Gate(  267)	cx q[9], q[6]
Gate(  268)	tdg q[9]
Gate(  269)	tdg q[6]
Gate(  270)	 t q[7]
Gate(  271)	cx q[7], q[6]
Gate(  272)	cx q[9], q[7]
Gate(  273)	cx q[6], q[9]
Gate(  274)	 h q[7]
Gate(  275)	 h q[6]
Gate(  276)	 t q[11]
Gate(  277)	 t q[10]
Gate(  278)	 t q[6]
Gate(  279)	cx q[10], q[11]
Gate(  280)	cx q[6], q[10]
Gate(  281)	cx q[11], q[6]
Gate(  282)	tdg q[10]
Gate(  283)	cx q[11], q[10]
Gate(  284)	tdg q[11]
Gate(  285)	tdg q[10]
Gate(  286)	 t q[6]
Gate(  287)	cx q[6], q[10]
Gate(  288)	cx q[11], q[6]
Gate(  289)	cx q[10], q[11]
Gate(  290)	 h q[6]
Gate(  291)	 h q[7]
Gate(  292)	 t q[9]
Gate(  293)	 t q[6]
Gate(  294)	 t q[7]
Gate(  295)	cx q[6], q[9]
Gate(  296)	cx q[7], q[6]
Gate(  297)	cx q[9], q[7]
Gate(  298)	tdg q[6]
Gate(  299)	cx q[9], q[6]
Gate(  300)	tdg q[9]
Gate(  301)	tdg q[6]
Gate(  302)	 t q[7]
Gate(  303)	cx q[7], q[6]
Gate(  304)	cx q[9], q[7]
Gate(  305)	cx q[6], q[9]
Gate(  306)	 h q[7]
Gate(  307)	 h q[0]
Gate(  308)	 t q[8]
Gate(  309)	 t q[7]
Gate(  310)	 t q[0]
Gate(  311)	cx q[7], q[8]
Gate(  312)	cx q[0], q[7]
Gate(  313)	cx q[8], q[0]
Gate(  314)	tdg q[7]
Gate(  315)	cx q[8], q[7]
Gate(  316)	tdg q[8]
Gate(  317)	tdg q[7]
Gate(  318)	 t q[0]
Gate(  319)	cx q[0], q[7]
Gate(  320)	cx q[8], q[0]
Gate(  321)	cx q[7], q[8]
Gate(  322)	 h q[0]
Gate(  323)	 h q[7]
Gate(  324)	 t q[9]
Gate(  325)	 t q[6]
Gate(  326)	 t q[7]
Gate(  327)	cx q[6], q[9]
Gate(  328)	cx q[7], q[6]
Gate(  329)	cx q[9], q[7]
Gate(  330)	tdg q[6]
Gate(  331)	cx q[9], q[6]
Gate(  332)	tdg q[9]
Gate(  333)	tdg q[6]
Gate(  334)	 t q[7]
Gate(  335)	cx q[7], q[6]
Gate(  336)	cx q[9], q[7]
Gate(  337)	cx q[6], q[9]
Gate(  338)	 h q[7]
Gate(  339)	 h q[6]
Gate(  340)	 t q[11]
Gate(  341)	 t q[10]
Gate(  342)	 t q[6]
Gate(  343)	cx q[10], q[11]
Gate(  344)	cx q[6], q[10]
Gate(  345)	cx q[11], q[6]
Gate(  346)	tdg q[10]
Gate(  347)	cx q[11], q[10]
Gate(  348)	tdg q[11]
Gate(  349)	tdg q[10]
Gate(  350)	 t q[6]
Gate(  351)	cx q[6], q[10]
Gate(  352)	cx q[11], q[6]
Gate(  353)	cx q[10], q[11]
Gate(  354)	 h q[6]
Gate(  355)	 h q[7]
Gate(  356)	 t q[9]
Gate(  357)	 t q[6]
Gate(  358)	 t q[7]
Gate(  359)	cx q[6], q[9]
Gate(  360)	cx q[7], q[6]
Gate(  361)	cx q[9], q[7]
Gate(  362)	tdg q[6]
Gate(  363)	cx q[9], q[6]
Gate(  364)	tdg q[9]
Gate(  365)	tdg q[6]
Gate(  366)	 t q[7]
Gate(  367)	cx q[7], q[6]
Gate(  368)	cx q[9], q[7]
Gate(  369)	cx q[6], q[9]
Gate(  370)	 h q[7]
Gate(  371)	 h q[1]
Gate(  372)	 t q[0]
Gate(  373)	 t q[11]
Gate(  374)	 t q[1]
Gate(  375)	cx q[11], q[0]
Gate(  376)	cx q[1], q[11]
Gate(  377)	cx q[0], q[1]
Gate(  378)	tdg q[11]
Gate(  379)	cx q[0], q[11]
Gate(  380)	tdg q[0]
Gate(  381)	tdg q[11]
Gate(  382)	 t q[1]
Gate(  383)	cx q[1], q[11]
Gate(  384)	cx q[0], q[1]
Gate(  385)	cx q[11], q[0]
Gate(  386)	 h q[1]
Gate(  387)	 h q[11]
Gate(  388)	 t q[4]
Gate(  389)	 t q[10]
Gate(  390)	 t q[11]
Gate(  391)	cx q[10], q[4]
Gate(  392)	cx q[11], q[10]
Gate(  393)	cx q[4], q[11]
Gate(  394)	tdg q[10]
Gate(  395)	cx q[4], q[10]
Gate(  396)	tdg q[4]
Gate(  397)	tdg q[10]
Gate(  398)	 t q[11]
Gate(  399)	cx q[11], q[10]
Gate(  400)	cx q[4], q[11]
Gate(  401)	cx q[10], q[4]
Gate(  402)	 h q[11]
Gate(  403)	 h q[10]
Gate(  404)	 t q[5]
Gate(  405)	 t q[9]
Gate(  406)	 t q[10]
Gate(  407)	cx q[9], q[5]
Gate(  408)	cx q[10], q[9]
Gate(  409)	cx q[5], q[10]
Gate(  410)	tdg q[9]
Gate(  411)	cx q[5], q[9]
Gate(  412)	tdg q[5]
Gate(  413)	tdg q[9]
Gate(  414)	 t q[10]
Gate(  415)	cx q[10], q[9]
Gate(  416)	cx q[5], q[10]
Gate(  417)	cx q[9], q[5]
Gate(  418)	 h q[10]
Gate(  419)	 h q[9]
Gate(  420)	 t q[7]
Gate(  421)	 t q[6]
Gate(  422)	 t q[9]
Gate(  423)	cx q[6], q[7]
Gate(  424)	cx q[9], q[6]
Gate(  425)	cx q[7], q[9]
Gate(  426)	tdg q[6]
Gate(  427)	cx q[7], q[6]
Gate(  428)	tdg q[7]
Gate(  429)	tdg q[6]
Gate(  430)	 t q[9]
Gate(  431)	cx q[9], q[6]
Gate(  432)	cx q[7], q[9]
Gate(  433)	cx q[6], q[7]
Gate(  434)	 h q[9]
Gate(  435)	 h q[10]
Gate(  436)	 t q[5]
Gate(  437)	 t q[9]
Gate(  438)	 t q[10]
Gate(  439)	cx q[9], q[5]
Gate(  440)	cx q[10], q[9]
Gate(  441)	cx q[5], q[10]
Gate(  442)	tdg q[9]
Gate(  443)	cx q[5], q[9]
Gate(  444)	tdg q[5]
Gate(  445)	tdg q[9]
Gate(  446)	 t q[10]
Gate(  447)	cx q[10], q[9]
Gate(  448)	cx q[5], q[10]
Gate(  449)	cx q[9], q[5]
Gate(  450)	 h q[10]
Gate(  451)	 h q[11]
Gate(  452)	 t q[4]
Gate(  453)	 t q[10]
Gate(  454)	 t q[11]
Gate(  455)	cx q[10], q[4]
Gate(  456)	cx q[11], q[10]
Gate(  457)	cx q[4], q[11]
Gate(  458)	tdg q[10]
Gate(  459)	cx q[4], q[10]
Gate(  460)	tdg q[4]
Gate(  461)	tdg q[10]
Gate(  462)	 t q[11]
Gate(  463)	cx q[11], q[10]
Gate(  464)	cx q[4], q[11]
Gate(  465)	cx q[10], q[4]
Gate(  466)	 h q[11]
Gate(  467)	 h q[1]
Gate(  468)	 t q[0]
Gate(  469)	 t q[11]
Gate(  470)	 t q[1]
Gate(  471)	cx q[11], q[0]
Gate(  472)	cx q[1], q[11]
Gate(  473)	cx q[0], q[1]
Gate(  474)	tdg q[11]
Gate(  475)	cx q[0], q[11]
Gate(  476)	tdg q[0]
Gate(  477)	tdg q[11]
Gate(  478)	 t q[1]
Gate(  479)	cx q[1], q[11]
Gate(  480)	cx q[0], q[1]
Gate(  481)	cx q[11], q[0]
Gate(  482)	 h q[1]
Gate(  483)	 h q[11]
Gate(  484)	 t q[4]
Gate(  485)	 t q[10]
Gate(  486)	 t q[11]
Gate(  487)	cx q[10], q[4]
Gate(  488)	cx q[11], q[10]
Gate(  489)	cx q[4], q[11]
Gate(  490)	tdg q[10]
Gate(  491)	cx q[4], q[10]
Gate(  492)	tdg q[4]
Gate(  493)	tdg q[10]
Gate(  494)	 t q[11]
Gate(  495)	cx q[11], q[10]
Gate(  496)	cx q[4], q[11]
Gate(  497)	cx q[10], q[4]
Gate(  498)	 h q[11]
Gate(  499)	 h q[10]
Gate(  500)	 t q[5]
Gate(  501)	 t q[9]
Gate(  502)	 t q[10]
Gate(  503)	cx q[9], q[5]
Gate(  504)	cx q[10], q[9]
Gate(  505)	cx q[5], q[10]
Gate(  506)	tdg q[9]
Gate(  507)	cx q[5], q[9]
Gate(  508)	tdg q[5]
Gate(  509)	tdg q[9]
Gate(  510)	 t q[10]
Gate(  511)	cx q[10], q[9]
Gate(  512)	cx q[5], q[10]
Gate(  513)	cx q[9], q[5]
Gate(  514)	 h q[10]
Gate(  515)	 h q[9]
Gate(  516)	 t q[7]
Gate(  517)	 t q[6]
Gate(  518)	 t q[9]
Gate(  519)	cx q[6], q[7]
Gate(  520)	cx q[9], q[6]
Gate(  521)	cx q[7], q[9]
Gate(  522)	tdg q[6]
Gate(  523)	cx q[7], q[6]
Gate(  524)	tdg q[7]
Gate(  525)	tdg q[6]
Gate(  526)	 t q[9]
Gate(  527)	cx q[9], q[6]
Gate(  528)	cx q[7], q[9]
Gate(  529)	cx q[6], q[7]
Gate(  530)	 h q[9]
Gate(  531)	 h q[10]
Gate(  532)	 t q[5]
Gate(  533)	 t q[9]
Gate(  534)	 t q[10]
Gate(  535)	cx q[9], q[5]
Gate(  536)	cx q[10], q[9]
Gate(  537)	cx q[5], q[10]
Gate(  538)	tdg q[9]
Gate(  539)	cx q[5], q[9]
Gate(  540)	tdg q[5]
Gate(  541)	tdg q[9]
Gate(  542)	 t q[10]
Gate(  543)	cx q[10], q[9]
Gate(  544)	cx q[5], q[10]
Gate(  545)	cx q[9], q[5]
Gate(  546)	 h q[10]
Gate(  547)	 h q[11]
Gate(  548)	 t q[4]
Gate(  549)	 t q[10]
Gate(  550)	 t q[11]
Gate(  551)	cx q[10], q[4]
Gate(  552)	cx q[11], q[10]
Gate(  553)	cx q[4], q[11]
Gate(  554)	tdg q[10]
Gate(  555)	cx q[4], q[10]
Gate(  556)	tdg q[4]
Gate(  557)	tdg q[10]
Gate(  558)	 t q[11]
Gate(  559)	cx q[11], q[10]
Gate(  560)	cx q[4], q[11]
Gate(  561)	cx q[10], q[4]
Gate(  562)	 h q[11]
Gate(  563)	 h q[0]
Gate(  564)	 t q[8]
Gate(  565)	 t q[7]
Gate(  566)	 t q[0]
Gate(  567)	cx q[7], q[8]
Gate(  568)	cx q[0], q[7]
Gate(  569)	cx q[8], q[0]
Gate(  570)	tdg q[7]
Gate(  571)	cx q[8], q[7]
Gate(  572)	tdg q[8]
Gate(  573)	tdg q[7]
Gate(  574)	 t q[0]
Gate(  575)	cx q[0], q[7]
Gate(  576)	cx q[8], q[0]
Gate(  577)	cx q[7], q[8]
Gate(  578)	 h q[0]
Gate(  579)	 h q[7]
Gate(  580)	 t q[9]
Gate(  581)	 t q[6]
Gate(  582)	 t q[7]
Gate(  583)	cx q[6], q[9]
Gate(  584)	cx q[7], q[6]
Gate(  585)	cx q[9], q[7]
Gate(  586)	tdg q[6]
Gate(  587)	cx q[9], q[6]
Gate(  588)	tdg q[9]
Gate(  589)	tdg q[6]
Gate(  590)	 t q[7]
Gate(  591)	cx q[7], q[6]
Gate(  592)	cx q[9], q[7]
Gate(  593)	cx q[6], q[9]
Gate(  594)	 h q[7]
Gate(  595)	 h q[6]
Gate(  596)	 t q[11]
Gate(  597)	 t q[10]
Gate(  598)	 t q[6]
Gate(  599)	cx q[10], q[11]
Gate(  600)	cx q[6], q[10]
Gate(  601)	cx q[11], q[6]
Gate(  602)	tdg q[10]
Gate(  603)	cx q[11], q[10]
Gate(  604)	tdg q[11]
Gate(  605)	tdg q[10]
Gate(  606)	 t q[6]
Gate(  607)	cx q[6], q[10]
Gate(  608)	cx q[11], q[6]
Gate(  609)	cx q[10], q[11]
Gate(  610)	 h q[6]
Gate(  611)	 h q[7]
Gate(  612)	 t q[9]
Gate(  613)	 t q[6]
Gate(  614)	 t q[7]
Gate(  615)	cx q[6], q[9]
Gate(  616)	cx q[7], q[6]
Gate(  617)	cx q[9], q[7]
Gate(  618)	tdg q[6]
Gate(  619)	cx q[9], q[6]
Gate(  620)	tdg q[9]
Gate(  621)	tdg q[6]
Gate(  622)	 t q[7]
Gate(  623)	cx q[7], q[6]
Gate(  624)	cx q[9], q[7]
Gate(  625)	cx q[6], q[9]
Gate(  626)	 h q[7]
Gate(  627)	 h q[0]
Gate(  628)	 t q[8]
Gate(  629)	 t q[7]
Gate(  630)	 t q[0]
Gate(  631)	cx q[7], q[8]
Gate(  632)	cx q[0], q[7]
Gate(  633)	cx q[8], q[0]
Gate(  634)	tdg q[7]
Gate(  635)	cx q[8], q[7]
Gate(  636)	tdg q[8]
Gate(  637)	tdg q[7]
Gate(  638)	 t q[0]
Gate(  639)	cx q[0], q[7]
Gate(  640)	cx q[8], q[0]
Gate(  641)	cx q[7], q[8]
Gate(  642)	 h q[0]
Gate(  643)	 h q[7]
Gate(  644)	 t q[9]
Gate(  645)	 t q[6]
Gate(  646)	 t q[7]
Gate(  647)	cx q[6], q[9]
Gate(  648)	cx q[7], q[6]
Gate(  649)	cx q[9], q[7]
Gate(  650)	tdg q[6]
Gate(  651)	cx q[9], q[6]
Gate(  652)	tdg q[9]
Gate(  653)	tdg q[6]
Gate(  654)	 t q[7]
Gate(  655)	cx q[7], q[6]
Gate(  656)	cx q[9], q[7]
Gate(  657)	cx q[6], q[9]
Gate(  658)	 h q[7]
Gate(  659)	 h q[6]
Gate(  660)	 t q[11]
Gate(  661)	 t q[10]
Gate(  662)	 t q[6]
Gate(  663)	cx q[10], q[11]
Gate(  664)	cx q[6], q[10]
Gate(  665)	cx q[11], q[6]
Gate(  666)	tdg q[10]
Gate(  667)	cx q[11], q[10]
Gate(  668)	tdg q[11]
Gate(  669)	tdg q[10]
Gate(  670)	 t q[6]
Gate(  671)	cx q[6], q[10]
Gate(  672)	cx q[11], q[6]
Gate(  673)	cx q[10], q[11]
Gate(  674)	 h q[6]
Gate(  675)	 h q[7]
Gate(  676)	 t q[9]
Gate(  677)	 t q[6]
Gate(  678)	 t q[7]
Gate(  679)	cx q[6], q[9]
Gate(  680)	cx q[7], q[6]
Gate(  681)	cx q[9], q[7]
Gate(  682)	tdg q[6]
Gate(  683)	cx q[9], q[6]
Gate(  684)	tdg q[9]
Gate(  685)	tdg q[6]
Gate(  686)	 t q[7]
Gate(  687)	cx q[7], q[6]
Gate(  688)	cx q[9], q[7]
Gate(  689)	cx q[6], q[9]
Gate(  690)	 h q[7]
Gate(  691)	 h q[1]
Gate(  692)	 t q[0]
Gate(  693)	 t q[11]
Gate(  694)	 t q[1]
Gate(  695)	cx q[11], q[0]
Gate(  696)	cx q[1], q[11]
Gate(  697)	cx q[0], q[1]
Gate(  698)	tdg q[11]
Gate(  699)	cx q[0], q[11]
Gate(  700)	tdg q[0]
Gate(  701)	tdg q[11]
Gate(  702)	 t q[1]
Gate(  703)	cx q[1], q[11]
Gate(  704)	cx q[0], q[1]
Gate(  705)	cx q[11], q[0]
Gate(  706)	 h q[1]
Gate(  707)	 h q[11]
Gate(  708)	 t q[4]
Gate(  709)	 t q[10]
Gate(  710)	 t q[11]
Gate(  711)	cx q[10], q[4]
Gate(  712)	cx q[11], q[10]
Gate(  713)	cx q[4], q[11]
Gate(  714)	tdg q[10]
Gate(  715)	cx q[4], q[10]
Gate(  716)	tdg q[4]
Gate(  717)	tdg q[10]
Gate(  718)	 t q[11]
Gate(  719)	cx q[11], q[10]
Gate(  720)	cx q[4], q[11]
Gate(  721)	cx q[10], q[4]
Gate(  722)	 h q[11]
Gate(  723)	 h q[10]
Gate(  724)	 t q[5]
Gate(  725)	 t q[9]
Gate(  726)	 t q[10]
Gate(  727)	cx q[9], q[5]
Gate(  728)	cx q[10], q[9]
Gate(  729)	cx q[5], q[10]
Gate(  730)	tdg q[9]
Gate(  731)	cx q[5], q[9]
Gate(  732)	tdg q[5]
Gate(  733)	tdg q[9]
Gate(  734)	 t q[10]
Gate(  735)	cx q[10], q[9]
Gate(  736)	cx q[5], q[10]
Gate(  737)	cx q[9], q[5]
Gate(  738)	 h q[10]
Gate(  739)	 h q[9]
Gate(  740)	 t q[7]
Gate(  741)	 t q[6]
Gate(  742)	 t q[9]
Gate(  743)	cx q[6], q[7]
Gate(  744)	cx q[9], q[6]
Gate(  745)	cx q[7], q[9]
Gate(  746)	tdg q[6]
Gate(  747)	cx q[7], q[6]
Gate(  748)	tdg q[7]
Gate(  749)	tdg q[6]
Gate(  750)	 t q[9]
Gate(  751)	cx q[9], q[6]
Gate(  752)	cx q[7], q[9]
Gate(  753)	cx q[6], q[7]
Gate(  754)	 h q[9]
Gate(  755)	 h q[10]
Gate(  756)	 t q[5]
Gate(  757)	 t q[9]
Gate(  758)	 t q[10]
Gate(  759)	cx q[9], q[5]
Gate(  760)	cx q[10], q[9]
Gate(  761)	cx q[5], q[10]
Gate(  762)	tdg q[9]
Gate(  763)	cx q[5], q[9]
Gate(  764)	tdg q[5]
Gate(  765)	tdg q[9]
Gate(  766)	 t q[10]
Gate(  767)	cx q[10], q[9]
Gate(  768)	cx q[5], q[10]
Gate(  769)	cx q[9], q[5]
Gate(  770)	 h q[10]
Gate(  771)	 h q[11]
Gate(  772)	 t q[4]
Gate(  773)	 t q[10]
Gate(  774)	 t q[11]
Gate(  775)	cx q[10], q[4]
Gate(  776)	cx q[11], q[10]
Gate(  777)	cx q[4], q[11]
Gate(  778)	tdg q[10]
Gate(  779)	cx q[4], q[10]
Gate(  780)	tdg q[4]
Gate(  781)	tdg q[10]
Gate(  782)	 t q[11]
Gate(  783)	cx q[11], q[10]
Gate(  784)	cx q[4], q[11]
Gate(  785)	cx q[10], q[4]
Gate(  786)	 h q[11]
Gate(  787)	 h q[1]
Gate(  788)	 t q[0]
Gate(  789)	 t q[11]
Gate(  790)	 t q[1]
Gate(  791)	cx q[11], q[0]
Gate(  792)	cx q[1], q[11]
Gate(  793)	cx q[0], q[1]
Gate(  794)	tdg q[11]
Gate(  795)	cx q[0], q[11]
Gate(  796)	tdg q[0]
Gate(  797)	tdg q[11]
Gate(  798)	 t q[1]
Gate(  799)	cx q[1], q[11]
Gate(  800)	cx q[0], q[1]
Gate(  801)	cx q[11], q[0]
Gate(  802)	 h q[1]
Gate(  803)	 h q[11]
Gate(  804)	 t q[4]
Gate(  805)	 t q[10]
Gate(  806)	 t q[11]
Gate(  807)	cx q[10], q[4]
Gate(  808)	cx q[11], q[10]
Gate(  809)	cx q[4], q[11]
Gate(  810)	tdg q[10]
Gate(  811)	cx q[4], q[10]
Gate(  812)	tdg q[4]
Gate(  813)	tdg q[10]
Gate(  814)	 t q[11]
Gate(  815)	cx q[11], q[10]
Gate(  816)	cx q[4], q[11]
Gate(  817)	cx q[10], q[4]
Gate(  818)	 h q[11]
Gate(  819)	 h q[10]
