
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 x q[5]
Gate(  144)	cx q[8], q[3]
Gate(  145)	 h q[1]
Gate(  146)	 h q[8]
Gate(  147)	 t q[4]
Gate(  148)	 t q[6]
Gate(  149)	 t q[8]
Gate(  150)	cx q[6], q[4]
Gate(  151)	cx q[8], q[6]
Gate(  152)	cx q[4], q[8]
Gate(  153)	tdg q[6]
Gate(  154)	cx q[4], q[6]
Gate(  155)	tdg q[4]
Gate(  156)	tdg q[6]
Gate(  157)	 t q[8]
Gate(  158)	cx q[8], q[6]
Gate(  159)	cx q[4], q[8]
Gate(  160)	cx q[6], q[4]
Gate(  161)	 h q[8]
Gate(  162)	 h q[6]
Gate(  163)	 t q[5]
Gate(  164)	 t q[2]
Gate(  165)	 t q[6]
Gate(  166)	cx q[2], q[5]
Gate(  167)	cx q[6], q[2]
Gate(  168)	cx q[5], q[6]
Gate(  169)	tdg q[2]
Gate(  170)	cx q[5], q[2]
Gate(  171)	tdg q[5]
Gate(  172)	tdg q[2]
Gate(  173)	 t q[6]
Gate(  174)	cx q[6], q[2]
Gate(  175)	cx q[5], q[6]
Gate(  176)	cx q[2], q[5]
Gate(  177)	 h q[6]
Gate(  178)	 h q[2]
Gate(  179)	 t q[9]
Gate(  180)	 t q[7]
Gate(  181)	 t q[2]
Gate(  182)	cx q[7], q[9]
Gate(  183)	cx q[2], q[7]
Gate(  184)	cx q[9], q[2]
Gate(  185)	tdg q[7]
Gate(  186)	cx q[9], q[7]
Gate(  187)	tdg q[9]
Gate(  188)	tdg q[7]
Gate(  189)	 t q[2]
Gate(  190)	cx q[2], q[7]
Gate(  191)	cx q[9], q[2]
Gate(  192)	cx q[7], q[9]
Gate(  193)	 h q[2]
Gate(  194)	 h q[6]
Gate(  195)	 t q[5]
Gate(  196)	 t q[2]
Gate(  197)	 t q[6]
Gate(  198)	cx q[2], q[5]
Gate(  199)	cx q[6], q[2]
Gate(  200)	cx q[5], q[6]
Gate(  201)	tdg q[2]
Gate(  202)	cx q[5], q[2]
Gate(  203)	tdg q[5]
Gate(  204)	tdg q[2]
Gate(  205)	 t q[6]
Gate(  206)	cx q[6], q[2]
Gate(  207)	cx q[5], q[6]
Gate(  208)	cx q[2], q[5]
Gate(  209)	 h q[6]
Gate(  210)	 h q[8]
Gate(  211)	 t q[4]
Gate(  212)	 t q[6]
Gate(  213)	 t q[8]
Gate(  214)	cx q[6], q[4]
Gate(  215)	cx q[8], q[6]
Gate(  216)	cx q[4], q[8]
Gate(  217)	tdg q[6]
Gate(  218)	cx q[4], q[6]
Gate(  219)	tdg q[4]
Gate(  220)	tdg q[6]
Gate(  221)	 t q[8]
Gate(  222)	cx q[8], q[6]
Gate(  223)	cx q[4], q[8]
Gate(  224)	cx q[6], q[4]
Gate(  225)	 h q[8]
Gate(  226)	 h q[1]
Gate(  227)	 t q[3]
Gate(  228)	 t q[8]
Gate(  229)	 t q[1]
Gate(  230)	cx q[8], q[3]
Gate(  231)	cx q[1], q[8]
Gate(  232)	cx q[3], q[1]
Gate(  233)	tdg q[8]
Gate(  234)	cx q[3], q[8]
Gate(  235)	tdg q[3]
Gate(  236)	tdg q[8]
Gate(  237)	 t q[1]
Gate(  238)	cx q[1], q[8]
Gate(  239)	cx q[3], q[1]
Gate(  240)	cx q[8], q[3]
Gate(  241)	 h q[1]
Gate(  242)	 h q[8]
Gate(  243)	 t q[4]
Gate(  244)	 t q[6]
Gate(  245)	 t q[8]
Gate(  246)	cx q[6], q[4]
Gate(  247)	cx q[8], q[6]
Gate(  248)	cx q[4], q[8]
Gate(  249)	tdg q[6]
Gate(  250)	cx q[4], q[6]
Gate(  251)	tdg q[4]
Gate(  252)	tdg q[6]
Gate(  253)	 t q[8]
Gate(  254)	cx q[8], q[6]
Gate(  255)	cx q[4], q[8]
Gate(  256)	cx q[6], q[4]
Gate(  257)	 h q[8]
Gate(  258)	 h q[6]
Gate(  259)	 t q[5]
Gate(  260)	 t q[2]
Gate(  261)	 t q[6]
Gate(  262)	cx q[2], q[5]
Gate(  263)	cx q[6], q[2]
Gate(  264)	cx q[5], q[6]
Gate(  265)	tdg q[2]
Gate(  266)	cx q[5], q[2]
Gate(  267)	tdg q[5]
Gate(  268)	tdg q[2]
Gate(  269)	 t q[6]
Gate(  270)	cx q[6], q[2]
Gate(  271)	cx q[5], q[6]
Gate(  272)	cx q[2], q[5]
Gate(  273)	 h q[6]
Gate(  274)	 h q[2]
Gate(  275)	 t q[9]
Gate(  276)	 t q[7]
Gate(  277)	 t q[2]
Gate(  278)	cx q[7], q[9]
Gate(  279)	cx q[2], q[7]
Gate(  280)	cx q[9], q[2]
Gate(  281)	tdg q[7]
Gate(  282)	cx q[9], q[7]
Gate(  283)	tdg q[9]
Gate(  284)	tdg q[7]
Gate(  285)	 t q[2]
Gate(  286)	cx q[2], q[7]
Gate(  287)	cx q[9], q[2]
Gate(  288)	cx q[7], q[9]
Gate(  289)	 h q[2]
Gate(  290)	 h q[6]
Gate(  291)	 t q[5]
Gate(  292)	 t q[2]
Gate(  293)	 t q[6]
Gate(  294)	cx q[2], q[5]
Gate(  295)	cx q[6], q[2]
Gate(  296)	cx q[5], q[6]
Gate(  297)	tdg q[2]
Gate(  298)	cx q[5], q[2]
Gate(  299)	tdg q[5]
Gate(  300)	tdg q[2]
Gate(  301)	 t q[6]
Gate(  302)	cx q[6], q[2]
Gate(  303)	cx q[5], q[6]
Gate(  304)	cx q[2], q[5]
Gate(  305)	 h q[6]
Gate(  306)	 h q[8]
Gate(  307)	 t q[4]
Gate(  308)	 t q[6]
Gate(  309)	 t q[8]
Gate(  310)	cx q[6], q[4]
Gate(  311)	cx q[8], q[6]
Gate(  312)	cx q[4], q[8]
Gate(  313)	tdg q[6]
Gate(  314)	cx q[4], q[6]
Gate(  315)	tdg q[4]
Gate(  316)	tdg q[6]
Gate(  317)	 t q[8]
Gate(  318)	cx q[8], q[6]
Gate(  319)	cx q[4], q[8]
Gate(  320)	cx q[6], q[4]
Gate(  321)	 h q[8]
Gate(  322)	 h q[0]
Gate(  323)	 t q[3]
Gate(  324)	 t q[9]
Gate(  325)	 t q[0]
Gate(  326)	cx q[9], q[3]
Gate(  327)	cx q[0], q[9]
Gate(  328)	cx q[3], q[0]
Gate(  329)	tdg q[9]
Gate(  330)	cx q[3], q[9]
Gate(  331)	tdg q[3]
Gate(  332)	tdg q[9]
Gate(  333)	 t q[0]
Gate(  334)	cx q[0], q[9]
Gate(  335)	cx q[3], q[0]
Gate(  336)	cx q[9], q[3]
Gate(  337)	 h q[0]
Gate(  338)	 h q[9]
Gate(  339)	 t q[4]
Gate(  340)	 t q[8]
Gate(  341)	 t q[9]
Gate(  342)	cx q[8], q[4]
Gate(  343)	cx q[9], q[8]
Gate(  344)	cx q[4], q[9]
Gate(  345)	tdg q[8]
Gate(  346)	cx q[4], q[8]
Gate(  347)	tdg q[4]
Gate(  348)	tdg q[8]
Gate(  349)	 t q[9]
Gate(  350)	cx q[9], q[8]
Gate(  351)	cx q[4], q[9]
Gate(  352)	cx q[8], q[4]
Gate(  353)	 h q[9]
Gate(  354)	 h q[8]
Gate(  355)	 t q[5]
Gate(  356)	 t q[2]
Gate(  357)	 t q[8]
Gate(  358)	cx q[2], q[5]
Gate(  359)	cx q[8], q[2]
Gate(  360)	cx q[5], q[8]
Gate(  361)	tdg q[2]
Gate(  362)	cx q[5], q[2]
Gate(  363)	tdg q[5]
Gate(  364)	tdg q[2]
Gate(  365)	 t q[8]
Gate(  366)	cx q[8], q[2]
Gate(  367)	cx q[5], q[8]
Gate(  368)	cx q[2], q[5]
Gate(  369)	 h q[8]
Gate(  370)	 h q[2]
Gate(  371)	 t q[7]
Gate(  372)	 t q[6]
Gate(  373)	 t q[2]
Gate(  374)	cx q[6], q[7]
Gate(  375)	cx q[2], q[6]
Gate(  376)	cx q[7], q[2]
Gate(  377)	tdg q[6]
Gate(  378)	cx q[7], q[6]
Gate(  379)	tdg q[7]
Gate(  380)	tdg q[6]
Gate(  381)	 t q[2]
Gate(  382)	cx q[2], q[6]
Gate(  383)	cx q[7], q[2]
Gate(  384)	cx q[6], q[7]
Gate(  385)	 h q[2]
Gate(  386)	 h q[8]
Gate(  387)	 t q[5]
Gate(  388)	 t q[2]
Gate(  389)	 t q[8]
Gate(  390)	cx q[2], q[5]
Gate(  391)	cx q[8], q[2]
Gate(  392)	cx q[5], q[8]
Gate(  393)	tdg q[2]
Gate(  394)	cx q[5], q[2]
Gate(  395)	tdg q[5]
Gate(  396)	tdg q[2]
Gate(  397)	 t q[8]
Gate(  398)	cx q[8], q[2]
Gate(  399)	cx q[5], q[8]
Gate(  400)	cx q[2], q[5]
Gate(  401)	 h q[8]
Gate(  402)	 h q[9]
Gate(  403)	 t q[4]
Gate(  404)	 t q[8]
Gate(  405)	 t q[9]
Gate(  406)	cx q[8], q[4]
Gate(  407)	cx q[9], q[8]
Gate(  408)	cx q[4], q[9]
Gate(  409)	tdg q[8]
Gate(  410)	cx q[4], q[8]
Gate(  411)	tdg q[4]
Gate(  412)	tdg q[8]
Gate(  413)	 t q[9]
Gate(  414)	cx q[9], q[8]
Gate(  415)	cx q[4], q[9]
Gate(  416)	cx q[8], q[4]
Gate(  417)	 h q[9]
Gate(  418)	 h q[0]
Gate(  419)	 t q[3]
Gate(  420)	 t q[9]
Gate(  421)	 t q[0]
Gate(  422)	cx q[9], q[3]
Gate(  423)	cx q[0], q[9]
Gate(  424)	cx q[3], q[0]
Gate(  425)	tdg q[9]
Gate(  426)	cx q[3], q[9]
Gate(  427)	tdg q[3]
Gate(  428)	tdg q[9]
Gate(  429)	 t q[0]
Gate(  430)	cx q[0], q[9]
Gate(  431)	cx q[3], q[0]
Gate(  432)	cx q[9], q[3]
Gate(  433)	 h q[0]
Gate(  434)	 h q[9]
Gate(  435)	 t q[4]
Gate(  436)	 t q[8]
Gate(  437)	 t q[9]
Gate(  438)	cx q[8], q[4]
Gate(  439)	cx q[9], q[8]
Gate(  440)	cx q[4], q[9]
Gate(  441)	tdg q[8]
Gate(  442)	cx q[4], q[8]
Gate(  443)	tdg q[4]
Gate(  444)	tdg q[8]
Gate(  445)	 t q[9]
Gate(  446)	cx q[9], q[8]
Gate(  447)	cx q[4], q[9]
Gate(  448)	cx q[8], q[4]
Gate(  449)	 h q[9]
Gate(  450)	 h q[8]
Gate(  451)	 t q[5]
Gate(  452)	 t q[2]
Gate(  453)	 t q[8]
Gate(  454)	cx q[2], q[5]
Gate(  455)	cx q[8], q[2]
Gate(  456)	cx q[5], q[8]
Gate(  457)	tdg q[2]
Gate(  458)	cx q[5], q[2]
Gate(  459)	tdg q[5]
Gate(  460)	tdg q[2]
Gate(  461)	 t q[8]
Gate(  462)	cx q[8], q[2]
Gate(  463)	cx q[5], q[8]
Gate(  464)	cx q[2], q[5]
Gate(  465)	 h q[8]
Gate(  466)	 h q[2]
Gate(  467)	 t q[7]
Gate(  468)	 t q[6]
Gate(  469)	 t q[2]
Gate(  470)	cx q[6], q[7]
Gate(  471)	cx q[2], q[6]
Gate(  472)	cx q[7], q[2]
Gate(  473)	tdg q[6]
Gate(  474)	cx q[7], q[6]
Gate(  475)	tdg q[7]
Gate(  476)	tdg q[6]
Gate(  477)	 t q[2]
Gate(  478)	cx q[2], q[6]
Gate(  479)	cx q[7], q[2]
Gate(  480)	cx q[6], q[7]
Gate(  481)	 h q[2]
Gate(  482)	 h q[8]
Gate(  483)	 t q[5]
Gate(  484)	 t q[2]
Gate(  485)	 t q[8]
Gate(  486)	cx q[2], q[5]
Gate(  487)	cx q[8], q[2]
Gate(  488)	cx q[5], q[8]
Gate(  489)	tdg q[2]
Gate(  490)	cx q[5], q[2]
Gate(  491)	tdg q[5]
Gate(  492)	tdg q[2]
Gate(  493)	 t q[8]
Gate(  494)	cx q[8], q[2]
Gate(  495)	cx q[5], q[8]
Gate(  496)	cx q[2], q[5]
Gate(  497)	 h q[8]
Gate(  498)	 h q[9]
Gate(  499)	 t q[4]
Gate(  500)	 t q[8]
Gate(  501)	 t q[9]
Gate(  502)	cx q[8], q[4]
Gate(  503)	cx q[9], q[8]
Gate(  504)	cx q[4], q[9]
Gate(  505)	tdg q[8]
Gate(  506)	cx q[4], q[8]
Gate(  507)	tdg q[4]
Gate(  508)	tdg q[8]
Gate(  509)	 t q[9]
Gate(  510)	cx q[9], q[8]
Gate(  511)	cx q[4], q[9]
Gate(  512)	cx q[8], q[4]
Gate(  513)	 h q[9]
Gate(  514)	 h q[0]
Gate(  515)	 t q[6]
Gate(  516)	 t q[7]
Gate(  517)	 t q[0]
Gate(  518)	cx q[7], q[6]
Gate(  519)	cx q[0], q[7]
Gate(  520)	cx q[6], q[0]
Gate(  521)	tdg q[7]
Gate(  522)	cx q[6], q[7]
Gate(  523)	tdg q[6]
Gate(  524)	tdg q[7]
Gate(  525)	 t q[0]
Gate(  526)	cx q[0], q[7]
Gate(  527)	cx q[6], q[0]
Gate(  528)	cx q[7], q[6]
Gate(  529)	 h q[0]
Gate(  530)	 h q[7]
Gate(  531)	 t q[9]
Gate(  532)	 t q[8]
Gate(  533)	 t q[7]
Gate(  534)	cx q[8], q[9]
Gate(  535)	cx q[7], q[8]
Gate(  536)	cx q[9], q[7]
Gate(  537)	tdg q[8]
Gate(  538)	cx q[9], q[8]
Gate(  539)	tdg q[9]
Gate(  540)	tdg q[8]
Gate(  541)	 t q[7]
Gate(  542)	cx q[7], q[8]
Gate(  543)	cx q[9], q[7]
Gate(  544)	cx q[8], q[9]
Gate(  545)	 h q[7]
Gate(  546)	 h q[0]
Gate(  547)	 t q[6]
Gate(  548)	 t q[7]
Gate(  549)	 t q[0]
Gate(  550)	cx q[7], q[6]
Gate(  551)	cx q[0], q[7]
Gate(  552)	cx q[6], q[0]
Gate(  553)	tdg q[7]
Gate(  554)	cx q[6], q[7]
Gate(  555)	tdg q[6]
Gate(  556)	tdg q[7]
Gate(  557)	 t q[0]
Gate(  558)	cx q[0], q[7]
Gate(  559)	cx q[6], q[0]
Gate(  560)	cx q[7], q[6]
Gate(  561)	 h q[0]
Gate(  562)	 h q[7]
Gate(  563)	 t q[9]
Gate(  564)	 t q[8]
Gate(  565)	 t q[7]
Gate(  566)	cx q[8], q[9]
Gate(  567)	cx q[7], q[8]
Gate(  568)	cx q[9], q[7]
Gate(  569)	tdg q[8]
Gate(  570)	cx q[9], q[8]
Gate(  571)	tdg q[9]
Gate(  572)	tdg q[8]
Gate(  573)	 t q[7]
Gate(  574)	cx q[7], q[8]
Gate(  575)	cx q[9], q[7]
Gate(  576)	cx q[8], q[9]
Gate(  577)	 h q[7]
Gate(  578)	 h q[2]
Gate(  579)	 t q[0]
Gate(  580)	 t q[9]
Gate(  581)	 t q[2]
Gate(  582)	cx q[9], q[0]
Gate(  583)	cx q[2], q[9]
Gate(  584)	cx q[0], q[2]
Gate(  585)	tdg q[9]
Gate(  586)	cx q[0], q[9]
Gate(  587)	tdg q[0]
Gate(  588)	tdg q[9]
Gate(  589)	 t q[2]
Gate(  590)	cx q[2], q[9]
Gate(  591)	cx q[0], q[2]
Gate(  592)	cx q[9], q[0]
Gate(  593)	 h q[2]
Gate(  594)	 h q[9]
Gate(  595)	 t q[3]
Gate(  596)	 t q[8]
Gate(  597)	 t q[9]
Gate(  598)	cx q[8], q[3]
Gate(  599)	cx q[9], q[8]
Gate(  600)	cx q[3], q[9]
Gate(  601)	tdg q[8]
Gate(  602)	cx q[3], q[8]
Gate(  603)	tdg q[3]
Gate(  604)	tdg q[8]
Gate(  605)	 t q[9]
Gate(  606)	cx q[9], q[8]
Gate(  607)	cx q[3], q[9]
Gate(  608)	cx q[8], q[3]
Gate(  609)	 h q[9]
Gate(  610)	 h q[8]
Gate(  611)	 t q[5]
Gate(  612)	 t q[4]
Gate(  613)	 t q[8]
Gate(  614)	cx q[4], q[5]
Gate(  615)	cx q[8], q[4]
Gate(  616)	cx q[5], q[8]
Gate(  617)	tdg q[4]
Gate(  618)	cx q[5], q[4]
Gate(  619)	tdg q[5]
Gate(  620)	tdg q[4]
Gate(  621)	 t q[8]
Gate(  622)	cx q[8], q[4]
Gate(  623)	cx q[5], q[8]
Gate(  624)	cx q[4], q[5]
Gate(  625)	 h q[8]
Gate(  626)	 h q[9]
Gate(  627)	 t q[3]
Gate(  628)	 t q[8]
Gate(  629)	 t q[9]
Gate(  630)	cx q[8], q[3]
Gate(  631)	cx q[9], q[8]
Gate(  632)	cx q[3], q[9]
Gate(  633)	tdg q[8]
Gate(  634)	cx q[3], q[8]
Gate(  635)	tdg q[3]
Gate(  636)	tdg q[8]
Gate(  637)	 t q[9]
Gate(  638)	cx q[9], q[8]
Gate(  639)	cx q[3], q[9]
Gate(  640)	cx q[8], q[3]
Gate(  641)	 h q[9]
Gate(  642)	 h q[2]
Gate(  643)	 t q[0]
Gate(  644)	 t q[9]
Gate(  645)	 t q[2]
Gate(  646)	cx q[9], q[0]
Gate(  647)	cx q[2], q[9]
Gate(  648)	cx q[0], q[2]
Gate(  649)	tdg q[9]
Gate(  650)	cx q[0], q[9]
Gate(  651)	tdg q[0]
Gate(  652)	tdg q[9]
Gate(  653)	 t q[2]
Gate(  654)	cx q[2], q[9]
Gate(  655)	cx q[0], q[2]
Gate(  656)	cx q[9], q[0]
Gate(  657)	 h q[2]
Gate(  658)	 h q[9]
Gate(  659)	 t q[3]
Gate(  660)	 t q[8]
Gate(  661)	 t q[9]
Gate(  662)	cx q[8], q[3]
Gate(  663)	cx q[9], q[8]
Gate(  664)	cx q[3], q[9]
Gate(  665)	tdg q[8]
Gate(  666)	cx q[3], q[8]
Gate(  667)	tdg q[3]
Gate(  668)	tdg q[8]
Gate(  669)	 t q[9]
Gate(  670)	cx q[9], q[8]
Gate(  671)	cx q[3], q[9]
Gate(  672)	cx q[8], q[3]
Gate(  673)	 h q[9]
Gate(  674)	 h q[8]
Gate(  675)	 t q[5]
Gate(  676)	 t q[4]
Gate(  677)	 t q[8]
Gate(  678)	cx q[4], q[5]
Gate(  679)	cx q[8], q[4]
Gate(  680)	cx q[5], q[8]
Gate(  681)	tdg q[4]
Gate(  682)	cx q[5], q[4]
Gate(  683)	tdg q[5]
Gate(  684)	tdg q[4]
Gate(  685)	 t q[8]
Gate(  686)	cx q[8], q[4]
Gate(  687)	cx q[5], q[8]
Gate(  688)	cx q[4], q[5]
Gate(  689)	 h q[8]
Gate(  690)	 h q[9]
Gate(  691)	 t q[3]
Gate(  692)	 t q[8]
Gate(  693)	 t q[9]
Gate(  694)	cx q[8], q[3]
Gate(  695)	cx q[9], q[8]
Gate(  696)	cx q[3], q[9]
Gate(  697)	tdg q[8]
Gate(  698)	cx q[3], q[8]
Gate(  699)	tdg q[3]
Gate(  700)	tdg q[8]
Gate(  701)	 t q[9]
Gate(  702)	cx q[9], q[8]
Gate(  703)	cx q[3], q[9]
Gate(  704)	cx q[8], q[3]
Gate(  705)	 h q[9]
Gate(  706)	 h q[0]
Gate(  707)	 t q[6]
Gate(  708)	 t q[7]
Gate(  709)	 t q[0]
Gate(  710)	cx q[7], q[6]
Gate(  711)	cx q[0], q[7]
Gate(  712)	cx q[6], q[0]
Gate(  713)	tdg q[7]
Gate(  714)	cx q[6], q[7]
Gate(  715)	tdg q[6]
Gate(  716)	tdg q[7]
Gate(  717)	 t q[0]
Gate(  718)	cx q[0], q[7]
Gate(  719)	cx q[6], q[0]
Gate(  720)	cx q[7], q[6]
Gate(  721)	 h q[0]
Gate(  722)	 h q[7]
Gate(  723)	 t q[9]
Gate(  724)	 t q[8]
Gate(  725)	 t q[7]
Gate(  726)	cx q[8], q[9]
Gate(  727)	cx q[7], q[8]
Gate(  728)	cx q[9], q[7]
Gate(  729)	tdg q[8]
Gate(  730)	cx q[9], q[8]
Gate(  731)	tdg q[9]
Gate(  732)	tdg q[8]
Gate(  733)	 t q[7]
Gate(  734)	cx q[7], q[8]
Gate(  735)	cx q[9], q[7]
Gate(  736)	cx q[8], q[9]
Gate(  737)	 h q[7]
Gate(  738)	 h q[0]
Gate(  739)	 t q[6]
Gate(  740)	 t q[7]
Gate(  741)	 t q[0]
Gate(  742)	cx q[7], q[6]
Gate(  743)	cx q[0], q[7]
Gate(  744)	cx q[6], q[0]
Gate(  745)	tdg q[7]
Gate(  746)	cx q[6], q[7]
Gate(  747)	tdg q[6]
Gate(  748)	tdg q[7]
Gate(  749)	 t q[0]
Gate(  750)	cx q[0], q[7]
Gate(  751)	cx q[6], q[0]
Gate(  752)	cx q[7], q[6]
Gate(  753)	 h q[0]
Gate(  754)	 h q[7]
Gate(  755)	 t q[9]
Gate(  756)	 t q[8]
Gate(  757)	 t q[7]
Gate(  758)	cx q[8], q[9]
Gate(  759)	cx q[7], q[8]
Gate(  760)	cx q[9], q[7]
Gate(  761)	tdg q[8]
Gate(  762)	cx q[9], q[8]
Gate(  763)	tdg q[9]
Gate(  764)	tdg q[8]
Gate(  765)	 t q[7]
Gate(  766)	cx q[7], q[8]
Gate(  767)	cx q[9], q[7]
Gate(  768)	cx q[8], q[9]
Gate(  769)	 h q[7]
Gate(  770)	 h q[2]
Gate(  771)	 t q[0]
Gate(  772)	 t q[9]
Gate(  773)	 t q[2]
Gate(  774)	cx q[9], q[0]
Gate(  775)	cx q[2], q[9]
Gate(  776)	cx q[0], q[2]
Gate(  777)	tdg q[9]
Gate(  778)	cx q[0], q[9]
Gate(  779)	tdg q[0]
Gate(  780)	tdg q[9]
Gate(  781)	 t q[2]
Gate(  782)	cx q[2], q[9]
Gate(  783)	cx q[0], q[2]
Gate(  784)	cx q[9], q[0]
Gate(  785)	 h q[2]
Gate(  786)	 h q[9]
Gate(  787)	 t q[3]
Gate(  788)	 t q[8]
Gate(  789)	 t q[9]
Gate(  790)	cx q[8], q[3]
Gate(  791)	cx q[9], q[8]
Gate(  792)	cx q[3], q[9]
Gate(  793)	tdg q[8]
Gate(  794)	cx q[3], q[8]
Gate(  795)	tdg q[3]
Gate(  796)	tdg q[8]
Gate(  797)	 t q[9]
Gate(  798)	cx q[9], q[8]
Gate(  799)	cx q[3], q[9]
Gate(  800)	cx q[8], q[3]
Gate(  801)	 h q[9]
Gate(  802)	 h q[8]
Gate(  803)	 t q[5]
Gate(  804)	 t q[4]
Gate(  805)	 t q[8]
Gate(  806)	cx q[4], q[5]
Gate(  807)	cx q[8], q[4]
Gate(  808)	cx q[5], q[8]
Gate(  809)	tdg q[4]
Gate(  810)	cx q[5], q[4]
Gate(  811)	tdg q[5]
Gate(  812)	tdg q[4]
Gate(  813)	 t q[8]
Gate(  814)	cx q[8], q[4]
Gate(  815)	cx q[5], q[8]
Gate(  816)	cx q[4], q[5]
Gate(  817)	 h q[8]
Gate(  818)	 h q[9]
Gate(  819)	 t q[3]
Gate(  820)	 t q[8]
